"","de028ad4-7ae6-11e9-a106-68b59976a384","PNP_Main_283","PNP_Validation_55","G80275","PNP_Main_363","SAMEA7045572","SAMEA7045355","HD-13","EGAR00001420773_9002000001423910","SID5428-4","G88848","G88743","PNP_Main_161","SAMEA7045443","SAMEA7045434","PNP_Validation_96","G80532","EGAR00001420742_9002000001415730","SAMEA7045220","G88982","EGAR00001420843_9002000001441150","a48719f0-7ae6-11e9-a106-68b59976a384","EGAR00001420336_9002000001272430","SID103_4M","EGAR00001420568_9002000001370790","EGAR00001420295_9002000001258923","G88782","G80373","EGAR00001420244_9002000001236274","PNP_Main_398","ESS-0243","HSM5MD8H_P","EGAR00001420873_9002000001447911","G89260","SID39_12M","aaf6076a-7ae6-11e9-a106-68b59976a384","EGAR00001420459_9002000001336350","HD-30","SID570_4M","ESS-0208","G80371","dc239b54-7ae6-11e9-a106-68b59976a384","MH0456","DHAK_HN","EGAR00001420696_9002000001402983","Travel054","EGAR00001421017_9002000001486419","PNP_Main_508","DHAK_HB","MH0430","SAMEA7045516","G88997","G88966","SID5427-1","SAMEA7045144","SID8c0a6d5a-7ae6-11e9-a106-68b59976a384","EGAR00001420242_9002000001235670","G80616","PNP_Main_440","SID64cff2e6-7ae6-11e9-a106-68b59976a384","SAMEA7045776","DHAK_HDA","SAMEA7045686","EGAR00001420221_9002000001228512","SAMEA104142088","SID504_12M","SAMEA7045298","YEZ_N-23","EGAR00001420666_9002000001395260","G80565","G88929","SID6eb0cd1c-7ae6-11e9-a106-68b59976a384","SID9a17daae-7ae6-11e9-a106-68b59976a384","cd74a670-7ae6-11e9-a106-68b59976a384","ac725ce2-7ae6-11e9-a106-68b59976a384","d7fa5842-7ae6-11e9-a106-68b59976a384","MH0458","EGAR00001420766_9002000001422322","EGAR00001420538_9002000001360382LL","Travel115","MSM79H81","MH0139","SID8bc1311c-7ae6-11e9-a106-68b59976a384","SAMEA7045662","PNP_Main_65","EGAR00001421055_9002000001503823","MH0164","SAMEA7041184","G80265","G88988","SAMEA7045071","SAMEA7045948","MSM9VZFR","EGAR00001420999_9002000001480470","G89017","SID7197b6ee-7ae6-11e9-a106-68b59976a384","PNP_Main_358","G78895","a4b551a8-7ae6-11e9-a106-68b59976a384","Travel023","V31_01_2FE","A85_01_1FE","A27_02_1FE","JAS_1","A59_01_1FE","A19_01_1FE","A04_01_1FE","A75_02_1FE","TZ_29321","A28_02_1FE","LDK_5","A11_01_1FE","A07_01_1FE","A81_03_1FE","JAS_5","TZ_91827","LDK_9","A72_02_1FE","A91_02_1FE","A70_03_1FE","TZ_60579","A36_01_1FE","TZ_37609","A20_01_1FE","A01_02_1FE","TZ_65642","TZ_83627","KHG_4","A46_01_1FE","TZ_10742","LDK_1-2","V50_01_1FE","A79_02_1FE","TZ_47979","V53_02_1FE","A47_01_1FE","A43_02_1FE","JAS_8","V06_02_1FE","JAS_4","LDK_8","A54_02_1FE","A82_02_1FE","TZ_83788","A25_01_1FE","A09_02_1FE","LDK_2","V36_02_2FE","LDK_3","A06_01_1FE","TZ_93321","TZ_73414","A39_04_1FE","KHG_11","V07_02_2FE","KHG_6","A62_01_1FE","TZ_41014","V48_03_2FE","A73_02_1FE","A73_01_1FE","JAS_7","A68_01_1FE","TZ_24827","A92_01_1FE","A15_02_1FE","JAS_2","A55_01_1FE","V54_01_1FE","A23_01_1FE","A44_01_1FE","A03_01_1FE","V19_01_2FE","TZ_61717","A88_02_1FE","A47_02_1FE","TZ_21618","A90_04_1FE","TZ_67706","A58_03_1FE","TZ_83985","A08_01_1FE","A53_01_1FE","TZ_42041","A94_02_1FE","A04_04_1FE","TZ_38244","A41_01_1FE","A10_01_1FE","A89_02_1FE","A46_02_1FE","TZ_87532","A94_01_1FE","KHG_7","LDK_4","KHG_9","A48_01_1FE","KHG_1","TZ_81781","A09_01_1FE"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",0,0.60446,1.59911,4.39085,0.04494,4.66505,2.99431,29.30325,1.4856,0.98818,0.03111,0.62584,1.90191,8.86276,0.56615,3.85706,0.00738,0.24413,8.67784,0.36771,1.55487,0.37348,0.27037,0,0,1.03817,1.69945,18.34331,0.24921,4.54968,0.1326,0,0.65448,0.75561,0.50418,0,0.06111,2.41811,7e-04,20.7946,0,0,15.66758,0,0.16935,9.47064,0.01683,0.01108,0.15259,1.33406,8.99292,4.40152,0.7872,0,10.94904,0,0,0,17.29289,0,8.48272,0,0.96109,0.90742,0.01405,25.01716,11.35417,0.09162,1.00849,0.00065,2.77163,0,7.82792,0,0,0,5.74283,1.21345,1.26068,0.12724,0.05011,13.91333,0,1.09246,0.55581,1.81188,0.39971,0.1966,18.34,0.20323,2.71629,7.30144,50.07397,0.71735,5.72222,2.14155,2.85583,0,2.57549,12.62941,0.06071,0,0.83663,0.08774,0,0,0,0.01116,0,9e-04,0.13612,0,0.02829,0.89749,0.00371,0,0,0,4.60808,0.09768,0,0,0,0.00418,0.47286,0,0,0,0.01079,0,0.14904,0,0.06222,0,0.06252,0,0,1.74099,0,0.00293,0.003,0,0,0,0,0,0.0544,0,0,0,0,0,0,0.02019,0,0.42024,0,0,0,0,0,0.00899,0,0,0,0,0,0,0.16727,0,0,0,0.56939,0,0.05458,0,0,0,0,0,0,0,0,0,0.43127,0.45744,0,0.32464,0,0,0.20717,0,0.00309,0.48891,0,0.0223,0,0.15112,0,0.00836
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",0,0.00546,0,0,2.50789,0,20.57498,8.28443,1.23261,0,0,0.03135,0.399,0,0.21823,1.30176,0,0,0,0,0,0,0,0,5.81729,0.31035,0,0,0,1.38385,0.05532,26.05176,0.02645,0.05466,0,0,0.05682,0.00536,0,1.53987,0,0,0,0,0,0,0,0,0,0.17535,4.17897,2.37198,0,0.00237,0,0,0,0,0.00538,0,0.65575,0,0,2.22764,0.00106,0,3.53694,23.65373,0.06826,0,0,0,2.21453,0,0,0,0,0.04694,0,0.01401,0,8.14652,0,6.16876,0.14369,0.33661,0.01085,0,0,0.94604,0.67414,0.4814,0,0.42951,0,0,0.74131,0,0,3.26334,0,0,0.00502,0,0,0,0,0.00926,0,0.01015,0,0,0.02905,0,0.06236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47645,0,0,0,0,0,0.00246,0,0,0,0,0.00203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58274,0,0,0,0,0,0,0,0,0,0,0,0,0.18377,0,0,0,0.17175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00693,0,0.02603,0,0.19318,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini",0,0,0,0,0,0,0,0,0.32822,0,0,0,0,0,0,0,0,0,0.01587,0,0,0,0,0,0,0,0,0,0,2.53511,0,0,0,0,0,0,0.09233,0,0,0.00366,0,0,0,0,0,0,0,0,0,3.0767,1.65018,0,0,0,0,0,0,0,0,0,0.3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70925,0,0,0,0,0.39375,0,0,0,0,0,0,0,0,0,0,0,0,0.1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38",0,0.06712,0.81149,0.05247,0.26027,0,0,2.62415,0.46585,0.23372,0.07125,0,0.44922,0,0.00129,0,0,0,0.04067,0.12776,0.00917,0,0,0,0.05895,0.01179,0,0.4899,0,0.21328,0.03106,0,0,0,0,0,0.08939,0.50004,0,0.02281,0.89128,11.46434,1.13007,0,0,0.05231,0,0.28665,0,1.10811,0,1.45833,0,0,0,0.05525,0.06995,0,0.17314,0,0.16866,0,0.00855,0.34645,0,0,0.026,0.01136,0.07964,0,0,0,0,0,0,0,0,0,0,0.01191,0.02953,1.12445,0,0,0.09533,0.05417,0.08143,0,0,0.01705,0.0806,0.10962,0,0.0133,0.01053,0,0.2556,0,0,0.15781,0.0915,0,0.0354,0.60643,0,0.02238,0,0.0066,0,0.04353,0,0,3.47202,0.00385,0.02279,0,0.01099,0.52703,0,0.01258,0,0,0,0,0,0,0,0,0,0,0.01241,0,0.02616,0,0,0.14511,0,0.0241,0,0.10903,0,0.54689,0,0.38142,0,0,0,0.27861,0,0,0.05652,0,0,0,0,0.55545,0.07681,0,0,0,0.01306,0.70742,0,0,0.03219,0,0.01774,0,0.39841,0,0,0,0.01265,0,0.01291,0.02338,0,0.09137,0.55354,0,0,0,0.23191,0,0,0,0,0,0,0.085,0.7814,0,0,0.00499,0,0.02446,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0,1.34931,2.00672,5.85067,0.59019,7.00027,1.28075,0.61758,0.07383,2.80355,0.46874,0.89878,1.15344,2.48467,1.94538,0.10971,0.63127,0.0342,0.68725,0.23323,0.13357,0,0.00768,0,0,0.92384,0.27905,7.35688,0.00747,3.24704,0.04037,0,0.35759,0.31921,4.59536,0,0.12757,0.24315,0.00277,0.55726,0,0,0,0,0,0,0,0.76757,0.05408,1.20907,0.29184,0.69761,0.5397,6.90743,0.17484,0,0.43642,0,0.83758,0,0.76736,0,1.35569,0.14575,0.0167,0,1.40875,1.20539,0.29773,0,0.77844,0,0.63593,0,0,0,1.33384,0.14266,0.65268,0.00038,0,0.61856,0,0.59977,0.11443,0.21043,0.3194,0.04037,6.31185,0.02691,0.83382,0.73856,1.27806,1.6901,1.48822,0.04562,0.27789,0,0,0.56115,0.01559,0,0.50711,0.00337,0,0,0,0.10612,0,0,0.17604,0,0.01917,0.71594,0.00141,0,0,0.00628,0.0131,0.13155,0,0,0,0,0.29011,0,0,0,1.3321,0,0.0675,0,0.07376,0,0,0,0.03065,0.25336,0,0.00397,0,0,0.06822,0,0,0.00203,0.04034,0,0,0,0,0,0,0.00439,0.84168,0,0.00973,0,0.40763,0,0.11221,0.071,0,0,0,0,0.02827,2.16277,0.01639,0,0,0,0.12126,0,0.02743,0,0,0.00128,0,4.97755,0,0.04366,0,0,1.44921,0.14638,0,0.09625,0,0,0.11423,0,0.01181,0.01386,0.03111,0.07463,0.15597,0.07541,0,0.01932
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",0,0.30451,0,0.01923,3.68838,1.32388,0.32893,5.44321,4.70035,0.94125,0.32062,9.64289,4.56478,1.52439,1.99378,0.44484,0,0.03429,3.43621,0,0.10984,0,1.63145,0,1.71613,1.73216,0.18854,0,2.97341,0,0.75762,0,0.04117,1.46893,2.11789,0,13.07324,2.8243,0,1.04121,0.48357,0.55483,1.33257,0.07943,2.22812,1.91036,0.52476,0.73744,4.18911,3.88122,8.75324,4.1398,1.50773,29.18372,1.11924,0,0.81131,0,0.12293,0,0,3.09845,4.68069,2.24935,0.98209,9.51601,0,0.18832,0.32732,0,1.0727,0,0,7.217,0,0,5.06983,0,1.04272,2.56894,2.30241,4.89081,0,0.00423,0.11068,2.11858,0.88252,0.00472,2.74333,0,0.05282,0.64749,1.23007,7.59935,0,0,0.06538,0.13229,0,7.71277,0.43747,2.01403,2.42718,4.92623,0.30534,0,1.35669,6.40994,2.2198,1.77866,4.24279,0,4.44045,1.62447,1.75313,0.31893,1.40309,1.43014,0,0.15267,0,4.68344,0.01062,0.09554,8.8432,0,0,0.03444,2.03496,0,2.36279,5.16628,0.72965,0,1.83266,0.03411,0.90306,17.45222,3.27632,4.46028,2.53797,0.75105,0,0.03281,6.57892,0.20748,4.19813,15.95209,0.33544,10.32174,0.08229,0,0.13203,0.63543,1.09183,9.76629,0.08746,0,1.84033,0.16884,0.42634,6.79792,0.0719,0.36789,0.46161,0,0.31076,0,1.30933,6.45784,2.34052,0.43007,0.0231,0,0.39904,0.32394,0.09394,2.75506,0,0.09305,0.26912,0.05216,2.94126,0,0.93703,0.00166,0,0,1.71771,4.23732,14.77164,0.07504,2.71453,0.1858,1.66139,7.00758,1.94563,2.30565,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",0,0.57032,3.1315,0.51806,1.22844,4.72715,10.05979,0.00038,9.02231,0.36536,3.96624,0.46958,1.61662,1.68446,1.19246,1.28099,0,15.96675,2.7475,7.66681,0,0,1.84497,0,10.90311,3.60685,7.67167,10.75865,2.72241,5.88256,0.69165,11.17567,0.50228,0.00408,0,0,14.01466,0.65372,0,2.22085,0.00432,0,0.29423,0.01794,8.08191,0,0.56318,2.38659,6.97062,0.01137,0.41542,18.69041,0,0.05506,4.93814,0,3.56828,0,0.04688,0,3.92176,7.92346,1.78793,0.34501,2.51921,0,4.2479,0.00698,0.02876,0,0.03356,0,0,0,0,0,0.21045,17.03979,1.13811,9.06916,4.88833,7.41685,0,9.65069,4.7907,0.01038,2.28894,0,3.09449,24.02016,0.00729,0.05783,0.72205,3.63758,18.39347,0,8.06079,0,0,2.48177,1.87825,6.96804,2.42954,1.53103,1.73161,0.02593,2.48402,5.40487,1.16687,3.38372,0.04508,0.03938,7.2607,13.19012,5.48298,0.54531,2.0534,5.8442,25.26778,1.73313,3.9948,1.97261,0.34585,4.25476,2.77617,0.7828,0.18888,1.62651,5.92998,0.58324,1.76258,1.84994,2.02472,0.56535,0.25647,4.26078,0.50667,2.06059,0,4.71079,6.79838,17.52565,2.73992,1.6783,29.81335,0.15821,3.00712,0.20309,0.12624,0,0.53128,0.47468,0.09357,7.38995,1.0254,4.09002,0.50554,2.7529,4.77531,0.96263,0.26766,1.09054,0.38314,0.24494,0.43875,51.8129,4.00543,0.09176,5.66,1.02511,4.0679,3.08273,5.7215,0.32366,0.37565,1.37649,0.71144,49.76902,1.54607,0.00181,1.84603,4.89705,4.31505,0.48038,0.18691,3.80086,1.1507,19.8134,0.64949,36.5166,9.48797,4.86,1.69137,0.13186,3.25189,3.70344,9.17404,5.49577,20.73741,1.17708
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0,4.63073,0.83337,5.17562,2.89514,20.87495,5.83714,8.13143,3.12275,5.29016,0.44988,0.04334,1.63343,9.01877,6.98879,0.88623,13.12929,0.50913,16.07914,0.4059,1.43994,0,1.45681,0,6.52632,0.49171,10.24772,16.65769,0.5481,13.5156,26.67865,0,3.9747,2.34472,34.87876,11.90592,1.57571,3.92148,2.13194,12.60486,0,0,18.55345,0.04094,2.51704,1.33863,0.03146,10.85126,0.02723,1.24151,3.28551,2.81139,0.1893,0,9.94486,0,0.27843,35.33088,3.62063,0,14.31506,1.06793,5.29466,0.67196,0.00091,0,4.00676,11.32221,0.57421,8.28839,2.28402,0,20.79522,0,0,0,12.26773,0.30277,0.27203,0.25848,0.00131,7.70745,0,3.65361,1.17102,3.32784,0.26678,2.86265,4.98358,1.24262,0.27071,11.32635,15.74866,0.46907,4.34506,0.47387,1.99292,0,0,1.24356,0.01078,0,5.33231,0,0,0.04133,0,0.00759,0,0.00182,0.07203,0,0.04007,0.3488,0.00357,0,0,0,0.22182,0.02873,0,0.00723,0,0,0.18237,0,0,0,0.65474,0,0,0,0,0,0.00535,0,0.087,1.35826,0.11458,0.00397,0,0,0,0,0,0,0.02513,0.00575,0.00265,0,0,0,0,0.0236,0.3911,0.16487,0,0,0.01569,0,0,0.02535,0,0,0,0,0,1.56694,0.0518,0,0,0,0.66364,0,0,0,0,0,0,0,0,0.03636,0,0,0.51862,0.00503,0,0.32279,0,0,0,0,0,0.00949,0,0.06362,0,0.15545,0,0.01056
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139",0,0,0,0.11772,0,0.11177,0,1.17017,0,0.02986,0,0,0,0,0,0.34377,0,0,0.03307,0,0,0,0,0,0.28479,0,0,0,0.18016,0.76005,0.51443,0.0174,0,0,0,0,0,0.02129,0.00055,1.16182,0,0,0,0,0.01146,0,0,0.00405,0,0,0.01201,0.01127,0,4.2945,0,0,0,0,0,0,0.05919,0,0.11161,0,0,0,0,1.46612,0,0,0.06679,0,0,0,0,0,0.11046,0,0,0,0,0.00438,0,0.02841,5e-04,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602,0.00677,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_MJR8396C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
