"","de028ad4-7ae6-11e9-a106-68b59976a384","PNP_Main_283","PNP_Validation_55","G80275","PNP_Main_363","SAMEA7045572","SAMEA7045355","HD-13","EGAR00001420773_9002000001423910","SID5428-4","G88848","G88743","PNP_Main_161","SAMEA7045443","SAMEA7045434","PNP_Validation_96","G80532","EGAR00001420742_9002000001415730","SAMEA7045220","G88982","EGAR00001420843_9002000001441150","a48719f0-7ae6-11e9-a106-68b59976a384","EGAR00001420336_9002000001272430","SID103_4M","EGAR00001420568_9002000001370790","EGAR00001420295_9002000001258923","G88782","G80373","EGAR00001420244_9002000001236274","PNP_Main_398","ESS-0243","HSM5MD8H_P","EGAR00001420873_9002000001447911","G89260","SID39_12M","aaf6076a-7ae6-11e9-a106-68b59976a384","EGAR00001420459_9002000001336350","HD-30","SID570_4M","ESS-0208","G80371","dc239b54-7ae6-11e9-a106-68b59976a384","MH0456","DHAK_HN","EGAR00001420696_9002000001402983","Travel054","EGAR00001421017_9002000001486419","PNP_Main_508","DHAK_HB","MH0430","SAMEA7045516","G88997","G88966","SID5427-1","SAMEA7045144","SID8c0a6d5a-7ae6-11e9-a106-68b59976a384","EGAR00001420242_9002000001235670","G80616","PNP_Main_440","SID64cff2e6-7ae6-11e9-a106-68b59976a384","SAMEA7045776","DHAK_HDA","SAMEA7045686","EGAR00001420221_9002000001228512","SAMEA104142088","SID504_12M","SAMEA7045298","YEZ_N-23","EGAR00001420666_9002000001395260","G80565","G88929","SID6eb0cd1c-7ae6-11e9-a106-68b59976a384","SID9a17daae-7ae6-11e9-a106-68b59976a384","cd74a670-7ae6-11e9-a106-68b59976a384","ac725ce2-7ae6-11e9-a106-68b59976a384","d7fa5842-7ae6-11e9-a106-68b59976a384","MH0458","EGAR00001420766_9002000001422322","EGAR00001420538_9002000001360382LL","Travel115","MSM79H81","MH0139","SID8bc1311c-7ae6-11e9-a106-68b59976a384","SAMEA7045662","PNP_Main_65","EGAR00001421055_9002000001503823","MH0164","SAMEA7041184","G80265","G88988","SAMEA7045071","SAMEA7045948","MSM9VZFR","EGAR00001420999_9002000001480470","G89017","SID7197b6ee-7ae6-11e9-a106-68b59976a384","PNP_Main_358","G78895","a4b551a8-7ae6-11e9-a106-68b59976a384","Travel023","V31_01_2FE","A85_01_1FE","A27_02_1FE","JAS_1","A59_01_1FE","A19_01_1FE","A04_01_1FE","A75_02_1FE","TZ_29321","A28_02_1FE","LDK_5","A11_01_1FE","A07_01_1FE","A81_03_1FE","JAS_5","TZ_91827","LDK_9","A72_02_1FE","A91_02_1FE","A70_03_1FE","TZ_60579","A36_01_1FE","TZ_37609","A20_01_1FE","A01_02_1FE","TZ_65642","TZ_83627","KHG_4","A46_01_1FE","TZ_10742","LDK_1-2","V50_01_1FE","A79_02_1FE","TZ_47979","V53_02_1FE","A47_01_1FE","A43_02_1FE","JAS_8","V06_02_1FE","JAS_4","LDK_8","A54_02_1FE","A82_02_1FE","TZ_83788","A25_01_1FE","A09_02_1FE","LDK_2","V36_02_2FE","LDK_3","A06_01_1FE","TZ_93321","TZ_73414","A39_04_1FE","KHG_11","V07_02_2FE","KHG_6","A62_01_1FE","TZ_41014","V48_03_2FE","A73_02_1FE","A73_01_1FE","JAS_7","A68_01_1FE","TZ_24827","A92_01_1FE","A15_02_1FE","JAS_2","A55_01_1FE","V54_01_1FE","A23_01_1FE","A44_01_1FE","A03_01_1FE","V19_01_2FE","TZ_61717","A88_02_1FE","A47_02_1FE","TZ_21618","A90_04_1FE","TZ_67706","A58_03_1FE","TZ_83985","A08_01_1FE","A53_01_1FE","TZ_42041","A94_02_1FE","A04_04_1FE","TZ_38244","A41_01_1FE","A10_01_1FE","A89_02_1FE","A46_02_1FE","TZ_87532","A94_01_1FE","KHG_7","LDK_4","KHG_9","A48_01_1FE","KHG_1","TZ_81781","A09_01_1FE"
"Bacteroidia",0,17.44332,82.864,69.99087,31.93081,51.76204,53.32801,74.59667,8.81074,26.39694,56.01283,24.12054,52.48737,42.77082,48.79584,85.09022,83.25675,7.32907,41.67692,50.78649,8.06969,0.41747,5.38422,0.01923,25.34353,13.95069,26.78015,60.28959,3.1975,35.82913,62.99718,48.15027,10.6539,12.63618,53.34822,11.98547,2.91688,69.37422,76.74069,70.7298,50.04269,0,45.15421,86.7059,3.6408,40.27594,0.97598,47.69598,66.54221,25.79062,25.66745,19.43825,15.89763,11.94336,34.14065,37.22413,15.29695,68.24872,41.75925,0,47.63417,18.61609,28.3574,7.96021,68.219,27.64602,49.10356,93.90182,14.14876,8.29361,18.42052,0,32.45554,0.21708,12.37995,0,56.77414,15.47567,15.03218,47.38928,65.6899,56.4101,0,46.09364,13.2241,24.42462,85.55167,41.48688,54.20649,4.50807,15.26826,39.53876,87.88746,11.71947,19.91036,3.02721,38.8016,1.38598,2.57549,30.05614,47.44811,25.403,13.32056,60.03921,22.39628,4.50183,46.56032,31.06328,43.31077,4.54367,69.82783,3.52202,10.5341,35.98936,43.85342,2.23491,79.67312,52.77041,20.05099,50.10484,2.95971,16.98853,22.11759,10.61511,31.56693,25.32048,6.00062,82.7256,42.49771,10.90074,78.32797,20.26898,3.68396,35.69568,1.32906,18.33928,52.41465,13.55076,29.3898,42.34865,54.73221,18.46267,1.51129,58.22466,29.80795,1.08216,74.52987,5.36359,92.61669,84.60399,40.598,21.8826,2.5991,53.21664,30.04548,26.66995,4.68232,19.58606,16.28187,5.25825,15.46768,58.83386,0.28266,3.3345,4.55827,26.59719,20.33696,74.69252,12.17661,3.12799,5.43195,52.39842,42.64406,6.86773,0.90002,0.28268,1.02638,7.86171,17.12007,16.56131,58.13989,7.9835,10.16762,14.19937,34.19836,53.35554,41.98719,15.18013,56.63519,15.70776,1.9776,1.49601,67.2141,4.29848,68.1689,38.59709,14.81828,10.13908,57.14031,11.61544
"Negativicutes",0,3.41001,0.89951,0.17704,1.15427,2.1528,0.23259,0.55811,0.52501,1.92715,3.57853,0.90845,5.28563,0.71069,0.97099,2.82112,1.55883,0.10562,0.78399,0.48529,0,0,0.05994,4.03344,0.24354,0.6733,1.76187,2.60673,0.42735,3.10338,1.57137,0.05158,0.29199,0.09469,0.5471,15.31028,0.17505,0.22201,2.09893,0.8832,23.87696,6.19362,0.64216,9.95127,0.02976,0,2.31384,0.24554,6.50954,4.35595,2.0311,0.87738,5.20989,2.77683,0.7662,0.22922,0.22713,0,1.16298,19.10491,0.79977,21.40932,1.38061,0.98488,0.26817,2.30485,1.36167,0.54648,1.5121,0.00737,0.06901,0,0,1.05193,3.41843,0,1.49664,0.556,1.82501,0.01594,4.27675,2.8193,5.0654,1.24911,0.03938,2.44158,3.17737,0.2115,5.42549,0.2342,0.99046,1.94448,0.12336,0.47352,0.26355,0,3.82319,0,0.43601,3.14451,2.73053,1.01034,0.73946,0.9826,0.34009,0.38008,0.38776,1.84004,5.04732,0.23983,0.19866,1.77196,0.05232,0.04193,0.18961,0,0.29238,0.42367,0.65093,0.03829,2.19052,0.14837,3.3608,0,0.01684,2.50074,3.15513,2.70507,6.6018,1.42424,0.61709,3.53134,0.6969,1.67202,1.3345,2.98449,0,3.97389,0.0071,0.58634,0.04945,0.73934,0.40637,1.24118,0.38565,0.18055,1.26297,3.0544,0.00594,0,1.82699,0.62141,0.4671,1.93638,0.31059,3.41114,0.86809,0.97702,0.02307,0.65217,5.77337,8.7952,0.00312,0.13217,0,0,0.22949,0.58331,0.03865,0.06083,0.14534,0,0.19255,1.79861,0.36879,0.0267,0.18754,1.64823,0.08948,0.69542,0.39981,2.22729,0.89257,1.81784,9.53229,0.10322,0.98063,6.07217,3.09407,0.16196,0.25563,0.01779,0.22524,1.94217,0.19048,13.08965,2.85472,0.63686,0.15417,2.02568
"Clostridia",0,54.03657,15.11921,22.26297,61.0406,39.5786,45.17824,21.97234,51.77504,53.00069,26.42707,56.76346,31.43475,42.28237,35.71159,10.4252,3.1925,65.70402,53.82455,31.72533,42.7545,0.0014,79.93106,1.71467,38.6616,36.0464,61.80321,24.83116,75.84801,41.98714,29.9438,51.18049,26.70359,31.10672,32.88371,33.60519,87.00092,27.72202,5.26212,17.43071,10.05072,59.28028,41.30296,1.18824,66.35655,48.51312,52.77235,50.31894,26.00654,47.19039,61.91189,65.1273,38.81323,76.79478,58.37677,23.10036,41.22783,0,48.57843,0,38.81959,39.45963,61.26266,70.00063,10.85689,53.30082,47.00932,3.78621,54.0351,2.39087,41.81689,0,0.24499,47.63453,24.96168,0,34.956,49.20848,67.4212,38.05366,27.41786,35.93951,1.06046,46.88041,69.40325,38.52893,8.90346,13.0798,20.48312,69.5266,74.41124,33.19308,11.7244,62.31339,65.14563,0,46.24103,19.57931,0.32578,51.97801,22.97148,23.09302,68.83929,20.84381,46.18057,10.46286,24.5512,54.38768,26.84756,27.97965,17.33251,21.71603,70.53457,46.31404,27.58562,65.72135,9.78002,30.12196,72.01841,37.70945,46.72289,29.09352,36.32168,13.96145,27.20334,54.05837,47.06941,9.7258,40.38665,49.7469,13.13034,20.64919,23.96065,39.19664,7.32552,18.14773,30.56995,56.48225,59.29834,27.0239,27.50762,35.2579,13.52272,34.57375,67.87057,1.79955,12.51861,58.17236,4.12902,15.15033,46.91387,64.3123,1.56433,19.38339,61.53472,43.85357,10.25535,55.92485,32.33285,5.38763,56.26765,20.2628,4.53266,84.17478,46.61694,70.51915,31.56083,23.74666,27.32014,46.38142,25.06628,20.38495,32.15496,76.23693,4.08419,8.02084,67.243,74.86837,69.28521,3.23203,28.68642,55.67498,74.42059,47.69958,45.74504,29.59667,30.55959,43.00066,13.42124,80.78481,67.36911,67.99494,29.08137,26.58263,12.85892,28.43225,39.76197,19.50374,39.47305,21.17816
"Proteobacteria unclassified",0,0,0,0.11772,0,0.11177,0,1.17017,0,0.02986,0,0,0,0,0,0.34377,0,0,0.03307,0,0,0,0,0,0.28479,0,0,0,0.18016,0.76005,0.51443,0.0174,0,0,0,0,0,0.02129,0.00055,1.16182,0,0,0,0,0.01146,0,0,0.00405,0,0,0.01201,0.01127,0,4.2945,0,0,0,0,0,0,0.05919,0,0.11161,0,0,0,0,1.46612,0,0,0.06679,0,0,0,0,0,0.11046,0,0,0,0,0.00438,0,0.02841,5e-04,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602,0.00677,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacteriia",0,2.56269,0.32789,0.13506,0.03417,2.16242,0.77667,0.00042,7.76862,1.19586,3.86574,3.61542,2.3676,3.03666,1.27405,0.10322,0.70641,5.60408,1.53366,5.27801,5.99707,4.69233,10.37513,0,3.38513,9.92752,3.47404,0.14275,11.16433,2.13885,2.74339,0,5.38955,12.40242,1.92222,0.51837,7.34035,0.08137,0.77841,0.55935,0.38026,0.40019,0.48055,0.02001,16.25032,0.78593,18.73709,0.21103,0.23836,2.57451,3.62714,2.4103,11.41354,0.41069,1.04735,0.09365,7.78588,0,3.44655,0,2.53259,0.89827,4.07852,5.29028,2.30327,1.64779,1.23933,0.00509,5.90119,5.88312,4.68647,0,0,0.00108,1.2208,0,0.21734,5.54235,1.66693,3.10641,0.08618,0.33334,0,0.89661,1.54656,3.65419,0.342,0.67211,0.00732,3.18433,1.46844,2.63904,0.07318,6.45119,6.23732,0,1.40627,1.40753,3.19861,2.22044,2.23756,3.64461,3.39948,2.3732,18.47632,5.32811,3.57947,8.25946,3.07534,12.30892,0.90168,33.08491,8.66531,0.80688,8.58911,8.93038,1.90558,2.41162,0.31432,3.06563,6.34292,6.37097,4.73051,0.47053,7.61418,3.54829,8.43012,3.12179,0.92205,6.92012,0.57526,15.61341,13.82561,5.60803,15.08699,6.49735,0.10786,2.48156,6.96468,4.89732,2.35396,5.95326,20.17542,3.49582,0.39056,7.56855,1.13539,0.15452,0.46028,0.24568,8.15756,6.08848,3.69375,2.39903,0.30976,10.37109,1.65432,12.5179,20.04227,3.06534,3.39361,2.05205,5.0329,8.46321,29.30529,0.10664,2.41999,0.03159,4.5801,17.84509,25.40125,11.30254,3.44869,7.21377,4.42881,0.69608,12.64088,3.03716,7.02828,51.85584,4.5893,6.35942,1.00571,7.0131,5.09017,2.20054,3.98559,0.68543,0.82562,0.36537,3.01814,19.20468,0.5568,4.48387,1.57274,4.33042,5.4775,1.01682,1.16426,7.3593
"Betaproteobacteria",0.0023,0.00331,0,2.845,0.0193,2.80536,0,0.37954,0,0.50974,0.03347,0,0.00683,0.05355,0,0.64112,0,0,0.53344,0,0,0,0,0,0.14027,0,0,0,0.02004,0.30125,0.05836,0.39471,0.01965,0,0,0,0,0.41235,0,0.12646,0,0,0,0,0,0,0,0.13015,0,0.00181,0.10971,0,0,0.58633,0.07785,0.00053,0,0,0.00423,0.01499,0.00045,0,0.13079,0.02709,0.02804,0,0.01166,0.09174,0,0,0.81048,0,0,0,0,0,0.44787,0,0,0,0,0.09319,0,0.6279,0.06415,0,0.00795,0.0333,0.17107,0,0.17595,0,0.03688,0,0,0,0,0,0,0,2.16392,0,2.66676,0,3.60707,7.06713,0.04494,0.02003,0,2.59716,0.21313,0,1.28143,3.40732,0,0,0.06229,0,0.00231,0,0,0.54333,0,0,0.74391,0,0,0,0.21095,0,0,0,0.20898,0,0.04915,0,0.00235,0.92416,0.52128,0,0.01125,0,31.09934,0,0.0362,0.00544,0,0,0,0,0,0,0.03804,0,1.7543,0.01166,0.19582,0,0,0.01098,0,0.01455,0.03675,0,0.0366,0,0,0.00135,0.00889,1.58735,0,0,0,0,0,0.17292,0,0.38732,0,0,0,0,0.03502,0,0.30562,0.03193,0,2.32619,0.3569,0.01266,4.99815,0,0.04318,0,0,0,0,0.04406,0,0.01405
"Actinobacteria",0.25809,7.71362,0.12398,0.98396,2.27658,0.76473,0,0.16361,28.78276,0.00365,4.85837,13.08897,6.30443,5.70675,1.41903,0.36134,9.60348,18.04427,0.73982,10.04298,29.64466,30.89211,0,0.13247,20.23579,25.63525,4.73745,2.52165,2.54187,12.18822,0.35785,0.03912,37.52958,37.98523,4.55646,20.75656,0.25331,0.04117,13.61309,0.17622,13.00387,30.68795,0.7184,0.06971,5.39016,1.13993,20.01899,0.46551,0.64227,4.06328,2.0634,10.5849,15.8351,0.47527,4.76229,31.88062,31.66934,10.78749,0.03321,28.60689,5.24281,5.55503,1.07427,14.15611,12.38866,3.99895,0.46673,0.0666,2.20459,51.48592,32.84832,0.02528,36.29218,18.8591,49.37975,0,0.00195,27.88742,10.3933,1.37606,0.00632,1.54452,82.93537,2.73754,10.16365,11.44416,0.33637,2.56439,0.18402,18.94014,1.90195,5.40083,0.01647,14.08701,7.61938,58.42878,6.60153,1.92706,88.79764,1.13939,0.58932,3.15537,1.28589,5.85048,0.05796,0.22235,0.25409,0.06177,0,13.79311,5.80496,8.08353,0.07691,0.00108,13.14531,0,4.3109,0.00611,0.0221,0.08649,0,0.25431,0,0.38994,12.21725,0,0,0.32218,0.74984,0,0.4827,1.2994,2.86196,0,2.74544,0.30112,0.20938,18.89278,0,16.83938,4.03733,0.48384,1.03965,0.90545,0.00403,6.71067,6.51015,0,0.79938,0,0,0,4.71815,12.7241,0.00982,11.39873,0.03526,0,7.82134,0.02832,0,2.42449,0.04821,0,0.29801,0,26.77207,0.10151,0.07566,0.1732,12.8706,8.62324,0.01892,0,6.36022,0.25092,0.01699,3.37452,0,17.43775,0,0,0.03865,0,0.14997,0.15377,0,0.15685,0.05616,0.06975,0,0,0.14233,42.51092,5.81819,9.93323,0,35.75463,0,0.04964
"Gammaproteobacteria",4.49729,0.01884,0.03216,0.99043,0.19512,0.11515,0.02001,0.17894,0,0.8095,0.09021,0.00518,0.04252,3.83627,0.06213,0.01479,1.16226,0,0.01955,0.72313,0.81107,46.90107,0.05959,51.05223,0,0.01935,0,4.01081,0,0.2033,0.90442,0.03242,8.99641,0.20947,0.05768,0.20616,0,1.73488,1.02497,0.5814,0.74259,0.47773,3.91061,1.88493,6.50919,0,0,0,0.04408,0.19126,0.19634,0.0234,0.02354,0.05611,0,0.65927,0.58173,20.96378,0.00804,0.69944,0.01747,2.07058,0.04556,0,0.24901,4.4757,0.13081,0,0,0,0,78.41545,11.30399,2.71324,1.66036,30.54039,0,0,0.04027,0.04402,1.92783,0.08595,5.68482,0.03632,0.05047,0.01468,0.00411,0.35437,18.33027,0,0.04142,0.56066,0,0.09799,0.00399,27.15212,0,0.17956,2.40913,0.19763,19.94589,1.87933,0.82345,0.09479,6.14657,59.79977,19.3858,0.33207,0,16.48332,0.04765,3.65681,0.60102,2.04248,0.03249,0.04138,0.0419,5.82118,1.37409,1.56295,0,17.69839,0,56.8141,19.18529,0.30679,0,0.54695,5.58884,0,0.31435,36.78721,1.87636,0,65.82288,51.25799,9.56271,0.16811,1.91117,0.0753,0.02778,28.85574,9.49772,0.0502,1.03224,52.34271,0.02898,25.05942,0.0489,0,0.01044,0.63332,85.26854,0.01515,1.86998,1.75256,14.6086,0.05448,5.14577,84.88592,6.87709,0.49257,40.90263,0,15.34217,1.57084,0.03215,0.61935,43.18172,8.11979,22.69519,5.78852,18.47308,0,63.93305,85.37163,0,6.03513,0,1.60612,0,21.04348,8.67104,0,0.7331,5.33404,0,32.14363,23.81041,0.2486,11.29968,0.76159,2.2955,9.46208,5.32392,0.17714,3.64655,17.59303,0.3058,56.04683
"Deltaproteobacteria",0,0.74883,0.02481,0.12442,0.04556,0.30744,0,0,0,0.46106,0.31998,0,0.01471,0.02757,1.13885,0.01304,0.10277,0.03385,0.00548,0,0.22876,0,0,0,0,0.21156,0.13521,0.12891,0,0.1747,0.05148,0.00404,0.23919,0,0.03749,0,0.00592,0.01544,0,0.00162,0,0,0,0,0,0,0,0.33943,0,1.10647,0.03531,0.10916,0.53142,0,0.44503,0,0,0,0.47304,0,0.06827,0,0.06036,0.02605,0,0,0.00033,0.12563,0.41822,0,0.17921,0,0,0,0,0,0.08782,0,0,0,0,0.0117,0,0.08376,0,0.1928,0.01174,1.34832,0,0,1.34752,0.06841,0,0.14606,0.00433,0,0.19823,0,0,0.28123,0.07108,0,0.18714,0.04118,0.28667,0.24492,0.07854,0.623,0.14935,0.07679,0,0,0.90798,0.03463,0,0,0,0.11124,0,0,0,0.12558,0.21249,0.00333,0.03059,0,0,0,0.34609,0,0,0,2.0114,0,0.00083,0.38565,0,0,0.06944,0.00459,0.0029,0.08673,12.68313,0,0,0,0.00458,0.29976,0.01364,0,0,0,0.00257,0,0.24248,0.03219,0.30609,0,0,0.0065,0,0,0,0,0.3822,0,0.2654,0,0.02395,0.21961,0,0,0.60604,0.08431,0.51862,0,0,0,0,0,0,0.03552,0.00343,0.03205,0.71206,0.16811,0,0.05352,0.01649,0.0833,0.27467,0,0.0119,0.37564,0,0.01985,0,0.00442,0,0.14089
"Bacilli",95.24231,0.06394,0.0194,0.04262,2.4876,0.20571,0.12873,0.05969,1.61868,0.00161,0.20815,0.16784,0.27676,0.31848,0.12575,0.00591,0.38219,2.03006,0.00494,0.09215,0.07854,17.08138,0.98896,43.04075,11.0235,10.6141,0.69455,0.03738,5.81629,1.12993,0.26057,0,1.80812,2.9875,0.69053,14.24739,2.0554,0.16783,0.48121,1.99416,1.57432,1.49906,0.05369,0.17203,0.25929,0.0289,0.03141,0.04898,0.017,0.21438,3.5771,1.30767,1.11474,0.14971,0.11006,6.54985,0.826,0,0.09783,51.57377,0.28752,0,0.24917,0.40501,5.65763,4.88307,0.29866,0.00337,0.01139,11.46754,0.05179,21.55925,19.7033,7.88154,1.33868,69.45961,0.00128,0.78219,0.80288,6.8468,0.32357,1.55849,5.25396,0.70962,0.14013,13.85731,1.03234,0.06161,1.12266,2.40185,0.03563,0.07389,0.00832,0.28876,0.16709,11.39189,0.77598,75.30946,2.25209,3.4019,1.21673,40.77218,7.21276,1.5518,0.66136,0.25937,2.23172,0.54024,0,0.41932,2.2769,12.43529,0.10851,2.23699,2.22904,0.50285,3.67253,0.29015,0.86878,0.88505,0,25.31914,0.02533,16.88596,1.0009,2.01484,0,0.29294,0.82155,0,6.35022,0.00669,0.08063,0,4.64935,1.0641,6.24942,0.41835,0.86481,5.02534,10.81101,1.51232,0,0.42885,0.26596,28.53202,2.90456,5.68919,1.35778,0,0.65114,0.23572,0.6954,10.27169,0,2.01283,65.00016,0.54838,11.94618,0.088,3.83937,5.03749,47.9775,0,0.28847,0.01165,2.35225,0.08368,11.08857,0.04066,3.55734,0.82889,0.86484,0,3.51601,1.77886,0.32694,1.15401,2.44804,0.57669,0.25855,0.29792,3.43574,0,0.16907,0.84237,0,0.1569,0.79673,0.02713,5.40327,0.06156,0.14572,1.36487,5.92476,4.85076,29.39588,15.2173,0.5884,0.30418
