"","de028ad4-7ae6-11e9-a106-68b59976a384","PNP_Main_283","PNP_Validation_55","G80275","PNP_Main_363","SAMEA7045572","SAMEA7045355","HD-13","EGAR00001420773_9002000001423910","SID5428-4","G88848","G88743","PNP_Main_161","SAMEA7045443","SAMEA7045434","PNP_Validation_96","G80532","EGAR00001420742_9002000001415730","SAMEA7045220","G88982","EGAR00001420843_9002000001441150","a48719f0-7ae6-11e9-a106-68b59976a384","EGAR00001420336_9002000001272430","SID103_4M","EGAR00001420568_9002000001370790","EGAR00001420295_9002000001258923","G88782","G80373","EGAR00001420244_9002000001236274","PNP_Main_398","ESS-0243","HSM5MD8H_P","EGAR00001420873_9002000001447911","G89260","SID39_12M","aaf6076a-7ae6-11e9-a106-68b59976a384","EGAR00001420459_9002000001336350","HD-30","SID570_4M","ESS-0208","G80371","dc239b54-7ae6-11e9-a106-68b59976a384","MH0456","DHAK_HN","EGAR00001420696_9002000001402983","Travel054","EGAR00001421017_9002000001486419","PNP_Main_508","DHAK_HB","MH0430","SAMEA7045516","G88997","G88966","SID5427-1","SAMEA7045144","SID8c0a6d5a-7ae6-11e9-a106-68b59976a384","EGAR00001420242_9002000001235670","G80616","PNP_Main_440","SID64cff2e6-7ae6-11e9-a106-68b59976a384","SAMEA7045776","DHAK_HDA","SAMEA7045686","EGAR00001420221_9002000001228512","SAMEA104142088","SID504_12M","SAMEA7045298","YEZ_N-23","EGAR00001420666_9002000001395260","G80565","G88929","SID6eb0cd1c-7ae6-11e9-a106-68b59976a384","SID9a17daae-7ae6-11e9-a106-68b59976a384","cd74a670-7ae6-11e9-a106-68b59976a384","ac725ce2-7ae6-11e9-a106-68b59976a384","d7fa5842-7ae6-11e9-a106-68b59976a384","MH0458","EGAR00001420766_9002000001422322","EGAR00001420538_9002000001360382LL","Travel115","MSM79H81","MH0139","SID8bc1311c-7ae6-11e9-a106-68b59976a384","SAMEA7045662","PNP_Main_65","EGAR00001421055_9002000001503823","MH0164","SAMEA7041184","G80265","G88988","SAMEA7045071","SAMEA7045948","MSM9VZFR","EGAR00001420999_9002000001480470","G89017","SID7197b6ee-7ae6-11e9-a106-68b59976a384","PNP_Main_358","G78895","a4b551a8-7ae6-11e9-a106-68b59976a384","Travel023","V31_01_2FE","A85_01_1FE","A27_02_1FE","JAS_1","A59_01_1FE","A19_01_1FE","A04_01_1FE","A75_02_1FE","TZ_29321","A28_02_1FE","LDK_5","A11_01_1FE","A07_01_1FE","A81_03_1FE","JAS_5","TZ_91827","LDK_9","A72_02_1FE","A91_02_1FE","A70_03_1FE","TZ_60579","A36_01_1FE","TZ_37609","A20_01_1FE","A01_02_1FE","TZ_65642","TZ_83627","KHG_4","A46_01_1FE","TZ_10742","LDK_1-2","V50_01_1FE","A79_02_1FE","TZ_47979","V53_02_1FE","A47_01_1FE","A43_02_1FE","JAS_8","V06_02_1FE","JAS_4","LDK_8","A54_02_1FE","A82_02_1FE","TZ_83788","A25_01_1FE","A09_02_1FE","LDK_2","V36_02_2FE","LDK_3","A06_01_1FE","TZ_93321","TZ_73414","A39_04_1FE","KHG_11","V07_02_2FE","KHG_6","A62_01_1FE","TZ_41014","V48_03_2FE","A73_02_1FE","A73_01_1FE","JAS_7","A68_01_1FE","TZ_24827","A92_01_1FE","A15_02_1FE","JAS_2","A55_01_1FE","V54_01_1FE","A23_01_1FE","A44_01_1FE","A03_01_1FE","V19_01_2FE","TZ_61717","A88_02_1FE","A47_02_1FE","TZ_21618","A90_04_1FE","TZ_67706","A58_03_1FE","TZ_83985","A08_01_1FE","A53_01_1FE","TZ_42041","A94_02_1FE","A04_04_1FE","TZ_38244","A41_01_1FE","A10_01_1FE","A89_02_1FE","A46_02_1FE","TZ_87532","A94_01_1FE","KHG_7","LDK_4","KHG_9","A48_01_1FE","KHG_1","TZ_81781","A09_01_1FE"
"Bacteroidaceae",0,10.18734,27.03068,13.44098,27.21862,35.7113,47.57663,61.21271,6.65996,15.44518,3.43987,1.66081,8.13,25.98892,23.16628,7.96019,81.37657,1.08754,31.60587,2.09082,4.39803,0.41747,3.58363,0,23.40816,3.91095,20.03445,51.95675,1.1804,25.07461,40.92895,47.5351,6.81317,5.5854,42.02146,11.90592,2.31902,15.90794,76.73792,42.67363,50.04269,0,45.14809,1.46841,2.95383,13.39765,0.06593,36.34732,1.12385,6.88613,20.39798,12.62066,2.29151,4.95838,27.88956,0,11.26084,68.24872,26.26913,0,32.24888,1.74162,16.79252,4.49242,0.0358,25.02273,41.00635,64.47015,6.64215,8.29361,9.34134,0,31.81961,0.19945,12.37995,0,41.62491,2.41369,2.87391,0.61646,55.68791,45.15196,0,35.06864,4.18545,10.60255,2.54133,29.14665,42.87925,3.90293,10.04015,21.66172,78.69678,5.47566,14.90989,2.98159,8.13116,1.38598,2.57549,23.02449,0.1619,0.00923,8.2223,0.38413,0.40866,0.0983,0.26468,0.1311,0.39417,0.33562,2.79574,0,1.07984,2.0512,0.13034,0,0.08071,0.44021,7.46814,3.21858,0,0.04595,0,0.00418,0.84265,0.4682,0,0.33104,1.64943,0.0382,0.55122,2.46121,0.14503,0.1015,0.58988,0.47136,0.55299,5.358,0.28124,0.01961,0.003,0.06696,0,0.41795,0.12684,0.00829,0.15208,0.00575,0.00265,0,0.19715,0.70247,0.00116,0.71216,3.68899,1.38144,0.08786,0.13324,0.01569,0.02839,0.47034,0.23218,0.00279,0.00582,0,26.57612,0,70.80392,0.61026,0,0,0,4.14038,0,0.3921,0.00493,0.36549,0.17417,0.28964,0.4434,1.70773,1.41605,0.02006,0.0377,2.74529,1.60721,0,4.34054,0.17658,0.10139,0.34194,0,0.26354,0.99837,0.18325,0.2014,0,8.81112,0,0.49211
"Acidaminococcaceae",0,0.04568,0.89951,0,0.23115,2.10694,0.11145,0.54383,0.32822,1.92715,3.52233,0,1.07204,0,0.87604,0.01019,0,0.10562,0.78076,0,0,0,0,0,0,0.55489,1.76187,0,0.42735,3.0926,0.00066,0,0,0.09469,0.49562,0,0.17505,0.20984,0,0.03686,0,0,0,0,0,0,2.30775,0.2349,0,3.93573,1.65018,0.8566,4.09054,2.69474,0.75977,0,0.22322,0,1.05216,0,0.79977,0,1.33759,0,0,0,1.29163,0.53576,1.40404,0,0.06901,0,0,0,0,0,1.49664,0,1.82501,0.00666,0,2.80758,0,1.23379,0,1.97635,2.63951,0.17932,0,0.2342,0.52472,0.0693,0.12336,0.04839,0.24784,0,0.00075,0,0,3.06835,0.61338,0,0.06709,0.53543,0.01362,0,0.25925,1.05533,4.84862,0.00392,0,0.4242,0.03713,0.02775,0,0,0,0.3669,0,0,2.19052,0,3.3608,0,0,1.98986,3.15513,0.06807,0.22967,1.42424,0.60453,3.53134,0.48693,1.67202,0.07195,2.98449,0,0,0,0.0031,0,0.37481,0.40637,1.24118,0.15129,0.00401,0.45272,2.30166,0,0,1.82699,0.60364,0.20427,0,0.31059,3.40117,0.86474,0.87334,0.02307,0.47562,5.77337,0,0,0.13217,0,0,0.10031,0,0,0.06083,0.08054,0,0.00031,1.79861,0.36721,0.00463,0.18754,0.03612,0.08948,0.69542,0.39981,2.22729,0.0943,1.81784,9.50262,0.00877,0.98063,6.03425,0,0.16196,0.20892,0.01779,0.18119,0.00551,0,0,0,0.01638,0.15417,0.01409
"Eubacteriaceae",0,10.68365,3.02923,0.45329,10.43917,1.49049,1.63998,5.15614,3.30063,1.65586,1.8548,3.99496,4.80528,1.07301,2.19052,2.17911,0,7.05045,2.22164,3.99109,6.28606,0,18.86315,0,1.04966,4.58011,5.07241,0.4899,5.02283,2.8573,1.71302,0.69509,2.88374,3.70754,5.77412,0,7.73043,4.23587,0,0.2202,1.24643,11.46434,10.79882,0.27219,4.37685,2.85899,7.2676,17.87044,0.47654,6.26779,3.70895,6.29967,8.60539,5.62742,4.866,0.05525,2.25847,0,9.6812,0,7.86774,6.17989,2.33174,4.97508,0.17866,0,4.56087,0.01635,6.63873,0,2.4855,0,0,0,2.34314,0,2.75575,2.61651,3.5473,0.71095,1.21073,2.39906,0,7.65232,9.9214,1.89016,0.43631,0.3006,1.3651,0.56157,1.69929,2.44461,1.03871,4.03527,2.10384,0,3.41228,0,0,4.88419,3.65543,1.89713,5.87251,2.55669,2.13766,5.56202,2.20337,6.80099,0.32855,1.66679,1.04495,0.05287,19.54401,6.43516,1.73095,0.60372,1.01001,2.65243,4.11081,8.14305,2.08901,0.80005,1.55818,2.43387,0.15349,3.03555,1.0087,1.06399,2.43548,2.93534,1.53296,0.31537,1.02233,2.37576,1.0495,2.11097,0,2.60769,10.23671,1.3617,5.12569,2.46827,4.60377,4.61197,9.01127,0.08566,0.12269,12.2364,0.08776,1.01478,7.38866,4.2015,0.103,1.27088,6.36821,0.96739,1.5151,5.92255,4.3531,0.17228,3.03953,1.37926,0.02899,7.71456,1.19447,2.15961,0.86605,0.95628,1.32218,2.95474,0.44984,0,1.85163,5.92617,0.52551,0.42257,4.50549,0.58308,9.47791,0.11323,4.21018,1.30247,11.63868,4.13119,2.7168,2.77678,0.43736,3.68522,0.09127,3.56261,3.80866,8.85149,0.93544,1.38592,1.07787,1.84224,4.99617,0.52711,0.54487,3.53328
"Tannerellaceae",0,2.65496,6.23831,5.85067,0.59019,8.95034,2.43793,1.98235,0.75247,3.61718,1.99458,0.89878,2.06893,2.48467,3.21716,0.98942,1.78843,0.13007,1.8041,0.91016,0.23051,0,0.00768,0,0,2.44611,0.44748,7.35688,0.15572,3.72669,1.21353,0,0.98053,0.31921,11.32676,0,0.13141,0.6469,0.00277,5.75947,0,0,0,0,0,1.33422,0.01167,2.23576,0.59842,1.38438,0.46787,1.87671,1.28747,6.90743,0.44818,0,1.14211,0,1.02697,0,4.19333,0,3.82009,0.57769,0.0167,0,2.78353,1.89765,0.95879,0,1.45225,0,0.63593,0,0,0,1.87419,0.63142,1.39376,0.10936,0,4.66157,0,2.94963,0.21911,1.54226,1.62474,5.42789,6.31185,0.13125,1.34219,0.73856,3.31147,2.18051,2.88085,0.04562,1.91156,0,0,1.81161,0.02721,0,0.65722,0.00337,0,0,0,0.10612,0,0,0.98488,0,0.01917,0.71594,0.07336,0,0,0.00628,0.0131,0.13155,0,0,0,0,0.29011,0,0,0,1.62531,0,0.0675,0,0.07376,0,0,0,0.06058,0.25336,0,0.00878,0,0,0.06822,0,0,0.00203,0.04034,0,0,0,0,0,0,0.02042,0.84168,0.05153,0.00973,0,1.6837,0,0.11221,0.07778,0,0,0,0,0.02827,2.16623,0.05373,0,0,0,0.1268,0,0.02743,0,0,0.00128,0,10.80796,0,0.04366,0,0,1.47161,0.15092,0,0.09625,0,0,0.11423,0,0.01181,0.01386,0.08372,0.32023,0.17535,0.09384,0,0.01932
"Lachnospiraceae",0,27.99568,6.23128,3.18042,32.99599,22.88576,23.89816,9.44295,25.87132,18.93367,9.95173,24.43395,17.46453,19.00711,15.7685,4.91433,3.19208,41.88525,27.51799,21.25425,18.20625,0.0014,19.1527,1.46671,30.84389,19.8578,41.0576,20.01355,50.52731,33.44012,14.03392,22.61097,11.12329,16.85759,17.0683,31.97387,49.9482,15.9044,5.22789,7.79117,6.51678,32.8659,7.21627,0.71324,37.802,27.74166,29.38082,10.53188,16.97206,26.52456,36.61047,47.13074,15.24319,44.60518,23.1231,17.08973,31.91077,0,29.38255,0,17.47024,11.57152,21.5074,39.56401,10.26068,35.18208,25.90561,0.65002,29.33356,1.57811,13.19614,0,0.24499,34.26502,8.32406,0,14.30377,28.30594,43.3915,25.60759,11.41732,21.15502,0,22.71806,44.63833,13.43605,5.32716,6.85796,13.41231,42.75932,55.55043,14.01604,5.17564,32.2502,50.84295,0,27.31289,0.69366,0.32578,26.45028,8.51442,15.72585,34.01015,13.35678,37.055,0.96376,12.06413,24.38399,12.80217,14.04304,7.79277,19.64368,21.72648,21.37672,19.94133,24.86165,6.19086,19.24436,38.8177,14.41216,13.42042,17.09516,10.27139,8.25918,15.63548,39.69498,4.95358,5.01842,13.23562,27.34755,7.16779,9.18167,6.33148,9.62321,3.92927,11.50312,19.60026,35.16653,17.83172,18.59919,14.45825,26.83988,4.61202,13.31764,49.42694,0.76832,9.2448,32.45505,2.30599,10.36664,20.80555,48.28897,0.83855,14.04557,10.81393,23.38739,7.14029,35.24256,17.51746,2.85326,13.05124,13.72637,1.62097,34.00902,10.58163,67.99917,16.06804,4.27804,22.84049,26.9651,15.27447,14.07398,21.86526,16.9658,2.31673,4.8504,38.18029,62.3317,47.59159,0.38638,12.74092,31.04561,49.83802,28.60608,22.19011,18.22231,11.33324,30.23251,9.2229,55.65951,46.26579,51.38406,9.00853,4.37199,8.91844,15.07808,18.97573,12.59638,27.38303,12.77475
"Proteobacteria unclassified",0,0,0,0.11772,0,0.11177,0,1.17017,0,0.02986,0,0,0,0,0,0.34377,0,0,0.03307,0,0,0,0,0,0.28479,0,0,0,0.18016,0.76005,0.51443,0.0174,0,0,0,0,0,0.02129,0.00055,1.16182,0,0,0,0,0.01146,0,0,0.00405,0,0,0.01201,0.01127,0,4.2945,0,0,0,0,0,0,0.05919,0,0.11161,0,0,0,0,1.46612,0,0,0.06679,0,0,0,0,0,0.11046,0,0,0,0,0.00438,0,0.02841,5e-04,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602,0.00677,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellaceae",0,3.36433,0,0.17704,0.91284,0.04586,0.12114,0.01379,0.19679,0,0.0562,0.10343,4.2088,0.71069,0.09495,2.81093,1.55883,0,0.00323,0.044,0,0,0.05994,4.03344,0.24354,0,0,2.60673,0,0.01078,1.57071,0.05158,0.29199,0,0.05148,15.31028,0,0.01217,2.09893,0.8424,23.87696,6.19362,0.64216,9.36684,0.02976,0,0,0,6.36946,0.1541,0.38092,0.02078,0.01192,0.08209,0.00643,0.22922,0.00391,0,0.11082,19.10491,0,21.20678,0.04302,0.98488,0.06839,2.30485,0.07004,0.01072,0.10806,0.00737,0,0,0,1.05193,3.41843,0,0,0.556,0,0.00928,4.27675,0.01172,5.0654,0.01532,0.03938,0.03316,0.07032,0.03218,5.42549,0,0.46574,1.87518,0,0.42513,0.01571,0,3.18204,0,0.43601,0.07616,2.11715,0.82143,0.67237,0,0.32647,0.38008,0.12851,0.78471,0,0.23591,0.17188,0.91165,0.01519,0.01418,0.05499,0,0.13199,0.05677,0.65093,0.03829,0,0.14837,0,0,0.01684,0.51088,0,0.42048,6.37213,0,0.01256,0,0.15994,0,1.2036,0,0,3.50784,0.0071,0.3183,0.00989,0.36453,0,0,0.23436,0.17307,0.09304,0.75274,0.00311,0,0,0.01777,0.26283,1.65005,0,0.0045,0.00335,0.10368,0,0.17655,0,0.72223,0.00312,0,0,0,0.00106,0.58331,0.03865,0,0.0648,0,0.19224,0,0.00063,0.00541,0,1.61211,0,0,0,0,0.79827,0,0.02967,0.09445,0,0.03792,3.09407,0,0.04671,0,0.04405,1.47681,0.18599,11.95723,2.85472,0.3311,0,2.01159
"Rikenellaceae",0,0.64958,2.96612,29.00623,3.52247,4.77856,3.31345,10.32279,1.27393,3.69102,1.62302,0.77839,3.00303,10.11616,4.86686,2.24145,0.0062,0.97762,6.63154,1.77446,1.44795,0,1.79291,0.01923,1.7916,3.55754,4.80141,0,1.64609,5.55356,20.21114,0.61517,0.50514,6.35968,0,0,0.0669,0.24152,0,14.17452,0,0,0.00559,0,0.54688,5.53259,0.19203,6.48537,0.40485,0.24724,4.23835,4.10311,2.16577,0.04965,4.11563,0,0.8449,0,3.55545,0,8.73341,0,4.52349,2.52669,0,0.00225,4.13319,26.34248,3.40653,0,6.93459,0,0,0,0,0,6.50884,0.6476,2.26655,0.53448,10.00199,3.55471,0,5.21927,2.04872,11.12281,1.52851,4.05068,2.02698,0.41434,2.89527,7.16322,4.31852,2.90905,1.55034,0,2.24379,0,0,2.11724,0.00608,0,0.24102,0.01711,0,0,0,0.05058,0,0,19.32978,0,0.03304,0.03759,0,0,0,0,0,0,0,0,0,0,0.39987,0,0,0,0,0,0.05609,0,0,0,0,0,0.02085,0.95689,0.16478,0.01099,0,0,0,0,0.00189,0,0.03972,0,0.00455,0,0,0,0,0.00559,1.86831,0.01526,0,0,0,0,0,0.4383,0,0,0,0,0,0.20591,0,0,0,0,0.01304,0,0.00666,0,0,0.00564,0,0,0,0.11408,0.00226,0,0.08695,0.05431,0,0,0,0,0,0,0.03329,0.13771,0.00995,0.09773,0,1.00723,0,0
"Coriobacteriaceae",0,2.12471,0.13755,0.13506,0.00364,2.0728,0.62739,0,6.86304,0.20402,3.7908,3.37083,2.30738,2.51682,0.70931,0.1021,0.57847,5.18108,1.281,5.11877,5.34741,4.69233,0.02143,0,0.0121,9.4305,2.93732,0,10.27189,0.0094,0.29455,0,5.09696,11.48512,1.9203,0,7.00504,0.06634,0,0.50217,0,0,0.00117,0.02001,15.69914,0.78593,17.81328,0.18874,0.23836,2.53113,3.57673,2.11961,10.97353,0.00358,0.95579,0,6.16448,0,2.25987,0,2.4761,0.49748,3.82068,4.34894,2.30327,1.5375,1.16544,0.00509,5.4971,0.00292,3.47436,0,0,0,0,0,0,4.7657,1.66693,3.03311,0.08618,0.31945,0,0.54664,1.17597,3.4604,0.27434,0.45524,0.00732,2.81251,1.3134,2.10686,0.07318,5.92608,5.8997,0,1.33919,0,3.19861,2.13029,1.72879,3.1257,2.72704,2.199,17.50723,4.35312,3.3516,8.05168,2.84354,11.46284,0.81773,33.01313,8.48322,0.72806,8.36337,8.11561,1.75039,2.15832,0.21294,2.49315,5.63306,4.38953,4.58793,0.43704,7.50239,3.30209,8.41173,3.03887,0.52525,6.90404,0.41588,15.5505,12.67138,5.41034,14.96343,6.19871,0.10468,2.24939,4.44274,4.70988,2.23322,3.50252,11.92076,3.41726,0.39056,7.45391,1.126,0.15184,0.41677,0.24568,7.31105,5.96459,3.62806,2.27414,0.28946,9.2493,0.96462,12.32201,16.75301,2.96409,3.21867,1.95968,4.40194,8.10446,25.44929,0.10664,2.18922,0,4.44699,13.42701,24.13412,10.60508,2.98254,6.94531,4.27084,0.6451,12.20604,2.89737,6.76615,51.727,4.32606,6.26235,0.9386,6.32294,4.16376,2.1396,3.85912,0.68543,0.70271,0.33843,2.73318,18.70635,0.50617,3.03158,1.40182,3.9006,4.61376,0.94554,1.04742,6.81338
"Sutterellaceae",0,0.00331,0,2.845,0.0193,2.80536,0,0.37954,0,0.50974,0.03347,0,0.00459,0.05355,0,0.64112,0,0,0.53344,0,0,0,0,0,0.14027,0,0,0,0.02004,0.30125,0.05836,0.39471,0.01965,0,0,0,0,0.41235,0,0.12646,0,0,0,0,0,0,0,0.13015,0,0.00181,0.10971,0,0,0.58633,0.07785,0,0,0,0,0,0.00045,0,0.00282,0,0,0,0.01166,0.09174,0,0,0.81048,0,0,0,0,0,0.44787,0,0,0,0,0.09319,0,0.6279,0.06415,0,0.00795,0,0.17107,0,0.17595,0,0.03688,0,0,0,0,0,0,0,0,0,0.04676,0,0,0.02772,0,0.00545,0,0.09922,0.21313,0,0,0,0,0,0.06229,0,0,0,0,0.03004,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0.92416,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01455,0,0,0.0366,0,0,0.00135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0,0.00083,0,0
