"","de028ad4-7ae6-11e9-a106-68b59976a384","PNP_Main_283","PNP_Validation_55","G80275","PNP_Main_363","SAMEA7045572","SAMEA7045355","HD-13","EGAR00001420773_9002000001423910","SID5428-4","G88848","G88743","PNP_Main_161","SAMEA7045443","SAMEA7045434","PNP_Validation_96","G80532","EGAR00001420742_9002000001415730","SAMEA7045220","G88982","EGAR00001420843_9002000001441150","a48719f0-7ae6-11e9-a106-68b59976a384","EGAR00001420336_9002000001272430","SID103_4M","EGAR00001420568_9002000001370790","EGAR00001420295_9002000001258923","G88782","G80373","EGAR00001420244_9002000001236274","PNP_Main_398","ESS-0243","HSM5MD8H_P","EGAR00001420873_9002000001447911","G89260","SID39_12M","aaf6076a-7ae6-11e9-a106-68b59976a384","EGAR00001420459_9002000001336350","HD-30","SID570_4M","ESS-0208","G80371","dc239b54-7ae6-11e9-a106-68b59976a384","MH0456","DHAK_HN","EGAR00001420696_9002000001402983","Travel054","EGAR00001421017_9002000001486419","PNP_Main_508","DHAK_HB","MH0430","SAMEA7045516","G88997","G88966","SID5427-1","SAMEA7045144","SID8c0a6d5a-7ae6-11e9-a106-68b59976a384","EGAR00001420242_9002000001235670","G80616","PNP_Main_440","SID64cff2e6-7ae6-11e9-a106-68b59976a384","SAMEA7045776","DHAK_HDA","SAMEA7045686","EGAR00001420221_9002000001228512","SAMEA104142088","SID504_12M","SAMEA7045298","YEZ_N-23","EGAR00001420666_9002000001395260","G80565","G88929","SID6eb0cd1c-7ae6-11e9-a106-68b59976a384","SID9a17daae-7ae6-11e9-a106-68b59976a384","cd74a670-7ae6-11e9-a106-68b59976a384","ac725ce2-7ae6-11e9-a106-68b59976a384","d7fa5842-7ae6-11e9-a106-68b59976a384","MH0458","EGAR00001420766_9002000001422322","EGAR00001420538_9002000001360382LL","Travel115","MSM79H81","MH0139","SID8bc1311c-7ae6-11e9-a106-68b59976a384","SAMEA7045662","PNP_Main_65","EGAR00001421055_9002000001503823","MH0164","SAMEA7041184","G80265","G88988","SAMEA7045071","SAMEA7045948","MSM9VZFR","EGAR00001420999_9002000001480470","G89017","SID7197b6ee-7ae6-11e9-a106-68b59976a384","PNP_Main_358","G78895","a4b551a8-7ae6-11e9-a106-68b59976a384","Travel023","V31_01_2FE","A85_01_1FE","A27_02_1FE","JAS_1","A59_01_1FE","A19_01_1FE","A04_01_1FE","A75_02_1FE","TZ_29321","A28_02_1FE","LDK_5","A11_01_1FE","A07_01_1FE","A81_03_1FE","JAS_5","TZ_91827","LDK_9","A72_02_1FE","A91_02_1FE","A70_03_1FE","TZ_60579","A36_01_1FE","TZ_37609","A20_01_1FE","A01_02_1FE","TZ_65642","TZ_83627","KHG_4","A46_01_1FE","TZ_10742","LDK_1-2","V50_01_1FE","A79_02_1FE","TZ_47979","V53_02_1FE","A47_01_1FE","A43_02_1FE","JAS_8","V06_02_1FE","JAS_4","LDK_8","A54_02_1FE","A82_02_1FE","TZ_83788","A25_01_1FE","A09_02_1FE","LDK_2","V36_02_2FE","LDK_3","A06_01_1FE","TZ_93321","TZ_73414","A39_04_1FE","KHG_11","V07_02_2FE","KHG_6","A62_01_1FE","TZ_41014","V48_03_2FE","A73_02_1FE","A73_01_1FE","JAS_7","A68_01_1FE","TZ_24827","A92_01_1FE","A15_02_1FE","JAS_2","A55_01_1FE","V54_01_1FE","A23_01_1FE","A44_01_1FE","A03_01_1FE","V19_01_2FE","TZ_61717","A88_02_1FE","A47_02_1FE","TZ_21618","A90_04_1FE","TZ_67706","A58_03_1FE","TZ_83985","A08_01_1FE","A53_01_1FE","TZ_42041","A94_02_1FE","A04_04_1FE","TZ_38244","A41_01_1FE","A10_01_1FE","A89_02_1FE","A46_02_1FE","TZ_87532","A94_01_1FE","KHG_7","LDK_4","KHG_9","A48_01_1FE","KHG_1","TZ_81781","A09_01_1FE"
"Bacteroides",0,10.18734,27.03068,13.44098,27.21862,35.7113,47.57663,61.21271,6.65996,15.44518,3.43987,1.66081,8.13,25.98892,23.16628,7.96019,81.37657,1.08754,31.60587,2.09082,4.39803,0.41747,3.58363,0,23.40816,3.91095,20.03445,51.95675,1.1804,25.07461,40.92895,47.5351,6.81317,5.5854,42.02146,11.90592,2.31902,15.90794,76.73792,42.67363,50.04269,0,45.14809,1.46841,2.95383,13.39765,0.06593,36.34732,1.12385,6.88613,20.39798,12.62066,2.29151,4.95838,27.88956,0,11.26084,68.24872,26.26913,0,32.24888,1.74162,16.79252,4.49242,0.0358,25.02273,41.00635,64.47015,6.64215,8.29361,9.34134,0,31.81961,0.19945,12.37995,0,41.62491,2.41369,2.87391,0.61646,55.68791,45.15196,0,35.06864,4.18545,10.60255,2.54133,29.14665,42.87925,3.90293,10.04015,21.66172,78.69678,5.47566,14.90989,2.98159,8.13116,1.38598,2.57549,23.02449,0.1619,0.00923,8.2223,0.38413,0.40866,0.0983,0.26468,0.1311,0.39417,0.33562,2.79574,0,1.07984,2.0512,0.13034,0,0.08071,0.44021,7.46814,3.21858,0,0.04595,0,0.00418,0.84265,0.4682,0,0.33104,1.64943,0.0382,0.55122,2.46121,0.14503,0.1015,0.58988,0.47136,0.55299,5.358,0.28124,0.01961,0.003,0.06696,0,0.41795,0.12684,0.00829,0.15208,0.00575,0.00265,0,0.19715,0.70247,0.00116,0.71216,3.68899,1.38144,0.08786,0.13324,0.01569,0.02839,0.47034,0.23218,0.00279,0.00582,0,26.57612,0,70.80392,0.61026,0,0,0,4.14038,0,0.3921,0.00493,0.36549,0.17417,0.28964,0.4434,1.70773,1.41605,0.02006,0.0377,2.74529,1.60721,0,4.34054,0.17658,0.10139,0.34194,0,0.26354,0.99837,0.18325,0.2014,0,8.81112,0,0.49211
"Acidaminococcus",0,0,0,0,0,0,0,0,0.32822,0,0,0,0,0,0,0,0,0,0.01587,0,0,0,0,0,0,0,0,0,0,2.53511,0,0,0,0,0,0,0.09233,0,0,0.00366,0,0,0,0,0,0,0,0,0,3.0767,1.65018,0,0,0,0,0,0,0,0,0,0.3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70925,0,0,0,0,0.39375,0,0,0,0,0,0,0,0,0,0,0,0,0.1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium",0,10.68365,3.02923,0.45329,10.43917,1.49049,1.63998,5.15614,3.30063,1.64008,1.8548,3.99496,4.79907,1.07301,2.19052,2.17911,0,7.05045,2.22164,3.99109,6.28606,0,18.86315,0,1.04966,4.58011,5.07241,0.4899,5.02283,2.8573,1.70915,0.69509,2.88374,3.70754,5.65055,0,7.73043,4.23587,0,0.21974,1.24643,11.46434,10.79882,0.27219,4.37685,2.85899,7.2676,17.87044,0.47654,6.26779,3.70895,6.29967,8.60539,5.62742,4.866,0.05525,2.25847,0,9.6812,0,7.84113,6.17989,2.33174,4.97508,0.17866,0,4.56087,0.01635,6.63873,0,2.4855,0,0,0,2.34314,0,2.75575,2.61651,3.5473,0.71095,1.21073,2.39906,0,7.65232,9.9214,1.89016,0.43612,0.3006,1.3651,0.56157,1.69929,2.44461,1.03871,4.03527,2.10384,0,3.41228,0,0,4.88419,3.65543,1.89713,5.87251,2.55669,2.13766,5.56202,2.20337,6.80099,0.32855,1.66679,1.04495,0.05287,19.54401,6.43516,1.73095,0.60372,1.01001,2.65243,4.11081,8.14305,2.08901,0.80005,1.55818,2.43387,0.15349,3.03555,1.0087,1.06399,2.43548,2.93534,1.53296,0.31537,1.02233,2.37576,1.0495,2.11097,0,2.60769,10.23671,1.3617,5.12569,2.46827,4.60377,4.61197,9.01127,0.08566,0.12269,12.2364,0.08776,1.01478,7.38866,4.2015,0.103,1.27088,6.36821,0.96739,1.5151,5.92255,4.3531,0.17228,3.03953,1.37926,0.02899,7.71456,1.19447,2.15961,0.86605,0.95628,1.32218,2.95474,0.44984,0,1.85163,5.92617,0.52551,0.42257,4.50549,0.58308,9.47791,0.11323,4.21018,1.30247,11.63868,4.13119,2.7168,2.77678,0.43736,3.68522,0.09127,3.56261,3.80866,8.85149,0.93544,1.38592,1.07787,1.84224,4.99617,0.52711,0.54487,3.53328
"Parabacteroides",0,2.65496,6.23831,5.85067,0.59019,8.95034,2.43793,1.98235,0.75247,3.61718,1.99458,0.89878,2.06893,2.48467,3.21716,0.98942,1.78843,0.13007,1.8041,0.91016,0.23051,0,0.00768,0,0,2.44611,0.44748,7.35688,0.15572,3.72669,1.21353,0,0.98053,0.31921,11.32676,0,0.13141,0.6469,0.00277,5.75947,0,0,0,0,0,1.33422,0.01167,2.23576,0.59842,1.38438,0.46787,1.87671,1.28747,6.90743,0.44818,0,1.14211,0,1.02697,0,4.19333,0,3.82009,0.57769,0.0167,0,2.78353,1.89765,0.95879,0,1.45225,0,0.63593,0,0,0,1.87419,0.63142,1.39376,0.10936,0,4.66157,0,2.94963,0.21911,1.54226,1.62474,5.42789,6.31185,0.13125,1.34219,0.73856,3.31147,2.18051,2.88085,0.04562,1.91156,0,0,1.81161,0.02721,0,0.65722,0.00337,0,0,0,0.10612,0,0,0.98488,0,0.01917,0.71594,0.07336,0,0,0.00628,0.0131,0.13155,0,0,0,0,0.29011,0,0,0,1.62531,0,0.0675,0,0.07376,0,0,0,0.06058,0.25336,0,0.00878,0,0,0.06822,0,0,0.00203,0.04034,0,0,0,0,0,0,0.02042,0.84168,0.05153,0.00973,0,1.6837,0,0.11221,0.07778,0,0,0,0,0.02827,2.16623,0.05373,0,0,0,0.1268,0,0.02743,0,0,0.00128,0,10.80796,0,0.04366,0,0,1.47161,0.15092,0,0.09625,0,0,0.11423,0,0.01181,0.01386,0.08372,0.32023,0.17535,0.09384,0,0.01932
"Roseburia",0,0.64667,1.31995,0.68444,9.00888,2.31358,0.85152,8.05734,6.35339,3.03558,0.64948,9.97267,4.86717,2.72903,2.84349,1.14675,0,1.12604,4.42647,0.1571,1.15752,0,1.93498,0,2.37741,1.99359,4.59353,2.71964,5.15765,0.08923,1.39764,0.66038,0.98494,1.85513,4.10938,0,17.76547,4.76366,0,1.81386,1.82032,0.55483,2.8271,0.36981,3.76984,2.30309,1.01059,5.33478,4.7686,5.67701,13.04979,13.48391,2.19959,38.83209,1.28506,0,2.29417,0,7.39514,0,0.3744,3.64806,5.50534,4.10772,0.98209,25.43498,3.08891,0.48395,0.93805,0.0619,1.21165,0,0,7.24568,0.0629,0,11.70649,1.94852,2.68547,2.86206,5.2146,9.9964,0,1.21557,1.95067,4.64157,1.19809,0.01706,5.48812,0.68078,0.30208,1.94794,1.75708,9.75001,11.93775,0,3.07062,0.22925,0,11.1037,0.95899,5.99838,8.28579,5.71679,3.5715,0.22436,2.61674,8.97138,4.22328,2.4282,5.26328,0.27039,6.79741,4.31305,5.47953,2.76765,1.56943,2.89107,5.391,2.11406,0.08773,10.96626,1.10269,0.33377,11.98757,0.96449,0.10476,0.94187,4.44931,0.70036,2.83663,5.8118,1.67849,0.43092,2.25103,2.2795,12.88925,19.4764,8.15568,6.49938,2.78784,3.49548,0.37337,1.50944,9.13586,0.29303,4.67589,22.96658,1.24968,10.36664,2.31905,1.72686,0.42338,1.5757,3.25127,12.35373,1.26614,0.88485,2.65938,0.78782,1.74487,8.71516,0.14189,7.51243,1.40582,13.84077,1.69118,0.38324,2.26676,11.95087,2.76869,2.69207,7.09791,0.27023,0.67448,1.43255,0.8281,8.63087,1.16921,0.12379,0.96515,0.53414,32.84077,0.36663,3.71907,3.76158,0.06099,6.98468,3.92844,13.01634,27.53488,1.64249,5.41143,0.27886,2.30601,7.75294,3.22984,2.88171,1.62016,0.73708
"Lachnospiraceae unclassified",0,0.57032,3.1315,0.51806,1.22844,4.72715,10.05979,0.00038,9.02231,0.36536,3.96624,0.46958,1.61662,1.68446,1.19246,1.28099,0,15.96675,2.7475,7.66681,0,0,1.84497,0,10.90311,3.60685,7.67167,10.75865,2.72241,5.88256,0.69165,11.17567,0.50228,0.00408,0,0,14.01466,0.65372,0,2.22085,0.00432,0,0.29423,0.01794,8.08191,0,0.56318,2.38659,6.97062,0.01137,0.41542,18.69041,0,0.05506,4.93814,0,3.56828,0,0.04688,0,3.92176,7.92346,1.78793,0.34501,2.51921,0,4.2479,0.00698,0.02876,0,0.03356,0,0,0,0,0,0.21045,17.03979,1.13811,9.06916,4.88833,7.41685,0,9.65069,4.7907,0.01038,2.28894,0,3.09449,24.02016,0.00729,0.05783,0.72205,3.63758,18.39347,0,8.06079,0,0,2.48177,1.87825,6.96804,2.42954,1.53103,1.73161,0.02593,2.48402,5.40487,1.16687,3.38372,0.04508,0.03938,7.2607,13.19012,5.48298,0.54531,2.0534,5.8442,25.26778,1.73313,3.9948,1.97261,0.34585,4.25476,2.77617,0.7828,0.18888,1.62651,5.92998,0.58324,1.76258,1.84994,2.02472,0.56535,0.25647,4.26078,0.50667,2.06059,0,4.71079,6.79838,17.52565,2.73992,1.6783,29.81335,0.15821,3.00712,0.20309,0.12624,0,0.53128,0.47468,0.09357,7.38995,1.0254,4.09002,0.50554,2.7529,4.77531,0.96263,0.26766,1.09054,0.38314,0.24494,0.43875,51.8129,4.00543,0.09176,5.66,1.02511,4.0679,3.08273,5.7215,0.32366,0.37565,1.37649,0.71144,49.76902,1.54607,0.00181,1.84603,4.89705,4.31505,0.48038,0.18691,3.80086,1.1507,19.8134,0.64949,36.5166,9.48797,4.86,1.69137,0.13186,3.25189,3.70344,9.17404,5.49577,20.73741,1.17708
"Proteobacteria unclassified",0,0,0,0.11772,0,0.11177,0,1.17017,0,0.02986,0,0,0,0,0,0.34377,0,0,0.03307,0,0,0,0,0,0.28479,0,0,0,0.18016,0.76005,0.51443,0.0174,0,0,0,0,0,0.02129,0.00055,1.16182,0,0,0,0,0.01146,0,0,0.00405,0,0,0.01201,0.01127,0,4.2945,0,0,0,0,0,0,0.05919,0,0.11161,0,0,0,0,1.46612,0,0,0.06679,0,0,0,0,0,0.11046,0,0,0,0,0.00438,0,0.02841,5e-04,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602,0.00677,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28651,0,0,0.04757,0,0,0.91316,0.00185,0,0.06009,0,9.36684,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,2.72425,0,0,0,0.00155,0,0.01072,0,0,0,0,0,0.04073,0,0,0,0,0,0,0,0,0,0,0,0,0.05488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0.53563,0,0,0,0.01298,0,0,0,0,0,0.00312,0,0,0.05499,0,0,0,0,0,0,0,0,0,0,0,0,0.41044,0.05068,0,0,0,0,0,0.07328,0,0,0,0,0.3183,0,0,0,0,0,0,0.08688,0.02151,0.00311,0,0,0,0,0,0,0,0,0,0,0,0,0.71807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44854,0.00023,10.11923,0,0.24237,0,0
"Fusicatenibacter",0,4.00047,0.40127,0.39202,3.34048,8.86854,2.64804,0.30414,2.30693,2.25517,0.63792,3.59862,1.66604,3.36852,0.41042,0.11676,0,5.81889,4.34249,2.4026,4.75055,0,0,0,5.56206,2.41678,4.93155,0.31615,15.36795,0,1.14762,1.0925,0.78183,3.82871,0.02541,0,5.31579,0.09013,0,0.35208,0.97521,0,1.20695,0,11.35869,3.22182,14.16629,0.22309,0,0.28988,4.98835,3.09809,2.63567,1.81726,6.00467,4.38707,3.60475,0,2.6427,0,3.55862,0,3.97319,6.68443,2.09731,1.36277,8.02255,0.01945,7.65786,1.14732,0.61712,0,0,0,0,0,0.38254,2.94177,2.05209,0.50606,0.26943,0.29839,0,3.69615,3.06278,1.43312,0.15774,0.17297,0.2541,2.85345,9.76789,2.92531,0.19621,4.13193,6.47636,0,2.14419,0.15994,0,1.52829,0.0299,0.05413,0.46887,0.64163,0.03234,0.01715,0.1129,0.15139,0,0.24198,0.04193,0,1.08094,0.20893,1.0414,0.70585,0.94744,0.00596,0.58801,0.69263,2.89268,0.04709,0.64083,0.05359,0,0.13283,0.37715,0.36072,0,0.62958,0.11513,0.1676,0.07568,1.97656,0.00744,0,0,2.51,0,0.81969,0.29022,0.00592,0,0.61153,0,0.00218,0.07106,0.02305,0.02595,0,0.96933,3.16893,0.00593,1.18103,0,1.87257,0.04157,1.80048,0.00129,0.01522,1.87951,0.79694,0,1.29081,0.11571,0.02311,0.82437,0.15718,1.2359,0,0,1.26995,0.05452,0.37581,0.02019,0.04346,1.78301,0.00254,1.63344,0,0.81554,0.04774,0.00429,0.09633,0.08885,0.16808,0.11156,0,0,0.20198,0.19072,4.27339,0.04761,0.28784,0.19005,1.10897,0.57808,1.2576,0.89678,0.05677
"Alistipes",0,0.64958,2.96612,29.00623,3.52247,4.77856,3.31345,10.32279,1.27393,3.69102,1.62302,0.77839,3.00303,10.11616,4.86686,2.24145,0.0062,0.97762,6.63154,1.77446,1.44795,0,1.79291,0.01923,1.7916,3.55754,4.80141,0,1.64609,5.55356,20.21114,0.61517,0.50514,6.35968,0,0,0.0669,0.24152,0,14.17452,0,0,0.00559,0,0.54688,5.53259,0.19203,6.48537,0.40485,0.24724,4.23835,4.10311,2.16577,0.04965,4.11563,0,0.8449,0,3.55545,0,8.73341,0,4.52349,2.52669,0,0.00225,4.13319,26.34248,3.40653,0,6.93459,0,0,0,0,0,6.50884,0.6476,2.26655,0.53448,10.00199,3.55471,0,5.21927,2.04872,11.12281,1.52851,4.05068,2.02698,0.41434,2.89527,7.16322,4.31852,2.90905,1.55034,0,2.24379,0,0,2.11724,0.00608,0,0.24102,0.01711,0,0,0,0.05058,0,0,19.32978,0,0.03304,0.03759,0,0,0,0,0,0,0,0,0,0,0.39987,0,0,0,0,0,0.05609,0,0,0,0,0,0.02085,0.95689,0.16478,0.01099,0,0,0,0,0.00189,0,0.03972,0,0.00455,0,0,0,0,0.00559,1.86831,0.01526,0,0,0,0,0,0.4383,0,0,0,0,0,0.20591,0,0,0,0,0.01304,0,0.00666,0,0,0.00564,0,0,0,0.11408,0.00226,0,0.08695,0.05431,0,0,0,0,0,0,0.03329,0.13771,0.00995,0.09773,0,1.00723,0,0
