"","de028ad4-7ae6-11e9-a106-68b59976a384","PNP_Main_283","PNP_Validation_55","G80275","PNP_Main_363","SAMEA7045572","SAMEA7045355","HD-13","EGAR00001420773_9002000001423910","SID5428-4","G88848","G88743","PNP_Main_161","SAMEA7045443","SAMEA7045434","PNP_Validation_96","G80532","EGAR00001420742_9002000001415730","SAMEA7045220","G88982","EGAR00001420843_9002000001441150","a48719f0-7ae6-11e9-a106-68b59976a384","EGAR00001420336_9002000001272430","SID103_4M","EGAR00001420568_9002000001370790","EGAR00001420295_9002000001258923","G88782","G80373","EGAR00001420244_9002000001236274","PNP_Main_398","ESS-0243","HSM5MD8H_P","EGAR00001420873_9002000001447911","G89260","SID39_12M","aaf6076a-7ae6-11e9-a106-68b59976a384","EGAR00001420459_9002000001336350","HD-30","SID570_4M","ESS-0208","G80371","dc239b54-7ae6-11e9-a106-68b59976a384","MH0456","DHAK_HN","EGAR00001420696_9002000001402983","Travel054","EGAR00001421017_9002000001486419","PNP_Main_508","DHAK_HB","MH0430","SAMEA7045516","G88997","G88966","SID5427-1","SAMEA7045144","SID8c0a6d5a-7ae6-11e9-a106-68b59976a384","EGAR00001420242_9002000001235670","G80616","PNP_Main_440","SID64cff2e6-7ae6-11e9-a106-68b59976a384","SAMEA7045776","DHAK_HDA","SAMEA7045686","EGAR00001420221_9002000001228512","SAMEA104142088","SID504_12M","SAMEA7045298","YEZ_N-23","EGAR00001420666_9002000001395260","G80565","G88929","SID6eb0cd1c-7ae6-11e9-a106-68b59976a384","SID9a17daae-7ae6-11e9-a106-68b59976a384","cd74a670-7ae6-11e9-a106-68b59976a384","ac725ce2-7ae6-11e9-a106-68b59976a384","d7fa5842-7ae6-11e9-a106-68b59976a384","MH0458","EGAR00001420766_9002000001422322","EGAR00001420538_9002000001360382LL","Travel115","MSM79H81","MH0139","SID8bc1311c-7ae6-11e9-a106-68b59976a384","SAMEA7045662","PNP_Main_65","EGAR00001421055_9002000001503823","MH0164","SAMEA7041184","G80265","G88988","SAMEA7045071","SAMEA7045948","MSM9VZFR","EGAR00001420999_9002000001480470","G89017","SID7197b6ee-7ae6-11e9-a106-68b59976a384","PNP_Main_358","G78895","a4b551a8-7ae6-11e9-a106-68b59976a384","Travel023","V31_01_2FE","A85_01_1FE","A27_02_1FE","JAS_1","A59_01_1FE","A19_01_1FE","A04_01_1FE","A75_02_1FE","TZ_29321","A28_02_1FE","LDK_5","A11_01_1FE","A07_01_1FE","A81_03_1FE","JAS_5","TZ_91827","LDK_9","A72_02_1FE","A91_02_1FE","A70_03_1FE","TZ_60579","A36_01_1FE","TZ_37609","A20_01_1FE","A01_02_1FE","TZ_65642","TZ_83627","KHG_4","A46_01_1FE","TZ_10742","LDK_1-2","V50_01_1FE","A79_02_1FE","TZ_47979","V53_02_1FE","A47_01_1FE","A43_02_1FE","JAS_8","V06_02_1FE","JAS_4","LDK_8","A54_02_1FE","A82_02_1FE","TZ_83788","A25_01_1FE","A09_02_1FE","LDK_2","V36_02_2FE","LDK_3","A06_01_1FE","TZ_93321","TZ_73414","A39_04_1FE","KHG_11","V07_02_2FE","KHG_6","A62_01_1FE","TZ_41014","V48_03_2FE","A73_02_1FE","A73_01_1FE","JAS_7","A68_01_1FE","TZ_24827","A92_01_1FE","A15_02_1FE","JAS_2","A55_01_1FE","V54_01_1FE","A23_01_1FE","A44_01_1FE","A03_01_1FE","V19_01_2FE","TZ_61717","A88_02_1FE","A47_02_1FE","TZ_21618","A90_04_1FE","TZ_67706","A58_03_1FE","TZ_83985","A08_01_1FE","A53_01_1FE","TZ_42041","A94_02_1FE","A04_04_1FE","TZ_38244","A41_01_1FE","A10_01_1FE","A89_02_1FE","A46_02_1FE","TZ_87532","A94_01_1FE","KHG_7","LDK_4","KHG_9","A48_01_1FE","KHG_1","TZ_81781","A09_01_1FE"
"Bacteroidetes",0,17.44332,82.864,69.99087,31.93081,51.76204,53.32801,74.59667,8.81074,26.39694,56.01283,24.12054,52.48737,42.77082,48.79584,85.09022,83.25675,7.32907,41.67692,50.78649,8.06969,0.41747,5.38422,0.01923,25.34353,13.95069,26.78015,60.28959,3.1975,35.82913,62.99718,48.15027,10.6539,12.63618,53.34822,11.98547,2.91688,69.37422,76.74069,70.7298,50.04269,0,45.15421,86.7059,3.6408,40.27594,0.97598,47.69598,66.54221,25.79062,25.66745,19.43825,15.89763,11.94336,34.14065,37.22413,15.29695,68.24872,41.75925,0,47.63417,18.61609,28.3574,7.96021,68.219,27.64602,49.10356,93.90182,14.14876,8.29361,18.42052,0,32.45554,0.21708,12.37995,0,56.77414,15.47567,15.03218,47.38928,65.6899,56.4101,0,46.09364,13.2241,24.42462,85.55167,41.48688,54.20649,4.50807,15.26826,39.53876,87.88746,11.71947,19.91036,3.02721,38.8016,1.38598,2.57549,30.05614,47.44811,25.403,13.32056,60.03921,22.39628,4.50183,46.56032,31.06328,43.31077,4.54367,69.82783,3.52202,10.5341,35.98936,43.85342,2.23491,79.67312,52.77041,20.05099,50.10484,2.95971,16.98853,22.11759,10.61511,31.56693,25.32048,6.00062,82.7256,42.49771,10.90074,78.32797,20.26898,3.68396,35.69568,1.32906,18.33928,52.41465,13.55076,29.3898,42.34865,54.73221,18.46267,1.51129,58.22466,29.80795,1.08216,74.52987,5.36359,92.61669,84.60399,40.598,21.8826,2.5991,53.21664,30.04548,26.66995,4.68232,19.58606,16.28187,5.25825,15.46768,58.83386,0.28266,3.3345,4.55827,26.59719,20.33696,74.69252,12.17661,3.12799,5.43195,52.39842,42.64406,6.86773,0.90002,0.28268,1.02638,7.86171,17.12007,16.56131,58.13989,7.9835,10.16762,14.19937,34.19836,53.35554,41.98719,15.18013,56.63519,15.70776,1.9776,1.49601,67.2141,4.29848,68.1689,38.59709,14.81828,10.13908,57.14031,11.61544
"Firmicutes",95.24231,60.47031,16.53946,22.81977,65.23075,41.96928,45.77661,23.51065,54.35341,62.23094,32.62608,59.11824,37.16714,44.56509,39.33931,13.27032,5.13352,68.07958,55.16727,33.1018,44.10917,17.08278,84.06922,48.78886,50.60123,48.29456,64.80561,27.48192,82.79345,48.39356,32.03239,51.24115,29.76764,35.72184,36.14998,66.53344,89.433,28.31286,7.84226,20.60115,35.83062,68.43001,48.6622,11.31154,67.61831,55.80051,58.08667,50.69035,32.53308,56.58705,67.7762,67.36019,47.74851,82.17399,59.39447,30.13869,44.52495,0,53.8503,70.67868,40.46986,69.0108,65.12757,71.73018,16.78843,61.33754,48.71392,4.34296,58.03285,34.33182,42.88128,21.55925,19.94829,78.20847,33.81834,69.45961,38.53203,51.02386,71.96328,48.06752,32.05554,40.79362,11.37982,49.36593,72.75287,55.57995,13.67471,16.25145,27.07745,73.22662,76.94888,37.03281,11.98599,65.53319,66.13955,11.39189,52.07879,95.09988,3.01388,66.08631,27.46628,65.7068,77.45131,29.7016,48.06397,14.31222,29.14222,58.85458,39.8264,29.97548,20.22092,51.31122,72.8581900000001,55.24221,34.30949,75.91408,13.94299,33.5767,75.39764,43.40942,66.07289,55.56937,43.49573,31.68794,28.40711,63.40633,54.56507,13.23521,49.49458,63.31015,20.29099,25.00524,29.01837,45.30938,14.05045,23.17306,36.8622,63.69967,60.43749,35.76066,38.80407,42.26756,14.35766,36.69235,68.55859,31.80266,17.76098,68.16272,5.7986,15.15033,49.58013,68.66939,3.56799,31.59146,65.12214,49.6457,77.38637,63.73359,50.23959,6.32794,71.50915,36.16722,53.33569,85.62612,48.91628,71.40296,48.34208,24.4741,39.86432,53.71661,33.16815,21.67532,33.70025,81.26396,12.78481,10.34374,68.7407,79.12173,75.12738,11.83281,31.44149,62.14131,80.00286,51.32624,57.10588,32.63053,31.64286,49.32691,17.89466,83.27912,76.68499,78.13269,29.72394,33.51772,19.11149,46.87139,72.68136,35.43789,40.57101,24.72113
"Proteobacteria",4.49959,0.77098,0.05697,4.07757,0.27316,3.33972,0.02001,1.72865,0,1.81016,0.44366,0.00518,0.0654,3.91739,1.20098,1.01272,1.28241,0.03385,0.59154,0.72313,1.03983,46.90107,0.05959,51.05223,0.42506,0.23091,0.13521,4.13972,0.2002,1.4393,1.65082,0.44857,9.25525,0.20947,0.09517,0.20616,0.00592,2.18396,1.02552,1.87458,0.74259,0.47773,3.91061,1.88493,6.52065,0,0,0.47363,0.04408,1.29954,0.35337,0.14383,0.55496,4.93694,0.52288,0.66289,0.58173,20.96378,0.48531,0.71443,0.14538,2.07058,0.34832,0.05314,0.27705,4.48219,0.1428,1.68349,0.41822,0,1.05648,78.41545,11.30399,2.71428,1.66036,30.54039,0.64615,0,0.04027,0.04402,1.92783,0.19522,5.68482,0.77639,0.11512,0.20748,0.0238,1.74856,18.50134,0,1.57269,0.63138,0.03688,0.24405,0.00832,27.15212,0.19823,0.17956,2.40913,0.47886,22.18762,1.8816,3.67735,0.13597,10.06665,67.11182,19.51317,0.9751,0.14935,19.16329,0.26755,3.65681,2.79043,5.48443,0.03249,0.04138,0.10576,5.93242,4.21076,2.15143,0,18.3673,0.21249,56.81743,19.95979,0.30679,0,0.54695,6.15833,0,0.31435,36.78721,4.10069,0,65.87286,51.67418,9.56506,1.12841,2.50189,0.07989,0.04193,28.94247,53.28019,0.10348,1.22207,52.34815,0.03356,25.35918,0.28295,0,0.01044,0.63332,85.30915,0.01515,3.86676,1.79641,15.11051,0.05448,5.14577,84.90399,6.87709,0.50712,40.94352,0,15.76097,1.57084,0.29755,0.6207,43.21456,9.92675,22.73972,5.78852,19.07912,0.08431,64.4531,85.54455,0,6.42622,0,1.60612,0,21.079,8.70949,0.03205,3.21027,5.53408,0,34.52334,24.58838,0.34456,16.5725,0.76159,2.35058,9.83772,5.32392,0.19699,3.64655,17.64151,0.3058,56.20177
"Actinobacteria",0.25809,10.27631,0.45187,1.11902,2.31075,2.92715,0.77667,0.16403,36.55138,1.19951,8.72411,16.70439,8.67203,8.74341,2.69308,0.46456,10.30989,23.64835,2.27348,15.32099,35.64173,35.58444,10.37513,0.13247,23.62092,35.56277,8.21149,2.6644,13.7062,14.32707,3.10124,0.03912,42.91913,50.38765,6.47868,21.27493,7.59366,0.12254,14.3915,0.73557,13.38413,31.08814,1.19895,0.08972,21.64048,1.92586,38.75608,0.67654,0.88063,6.63779,5.69054,12.9952,27.24864,0.88596,5.80964,31.97427,39.45522,10.78749,3.47976,28.60689,7.7754,6.4533,5.15279,19.44639,14.69193,5.64674,1.70606,0.07169,8.10578,57.36904,37.53479,0.02528,36.29218,18.86018,50.60055,0,0.21929,33.42977,12.06023,4.48247,0.0925,1.87786,82.93537,3.63415,11.71021,15.09835,0.67837,3.2365,0.19134,22.12447,3.37039,8.03987,0.08965,20.5382,13.8567,58.42878,8.0078,3.33459,91.99625,3.35983,2.82688,6.79998,4.68537,8.22368,18.53428,5.55046,3.83356,8.32123,3.07534,26.10203,6.70664,41.16844,8.74222,0.80796,21.73442,8.93038,6.21648,2.41773,0.33642,3.15212,6.34292,6.62528,4.73051,0.86047,19.83143,3.54829,8.43012,3.44397,1.67189,6.92012,1.05796,16.91281,16.68757,5.60803,17.83243,6.79847,0.31724,21.37434,6.96468,21.7367,6.39129,6.4371,21.21507,4.40127,0.39459,14.27922,7.64554,0.15452,1.25966,0.24568,8.15756,6.08848,8.4119,15.12313,0.31958,21.76982,1.68958,12.5179,27.86361,3.09366,3.39361,4.47654,5.08111,8.46321,29.6033,0.10664,29.19206,0.1331,4.65576,18.01829,38.27185,19.92578,3.46761,7.21377,10.78903,0.947,12.65787,6.41168,7.02828,69.29359,4.5893,6.35942,1.04436,7.0131,5.24014,2.35431,3.98559,0.84228,0.88178,0.43512,3.01814,19.20468,0.69913,46.99479,7.39093,14.26365,5.4775,36.77145,1.16426,7.40894
"Verrucomicrobia",0,0.00784,0,1.99276,0.25451,0,0,0,0.0994,3.29795,1.12346,0,0.18857,0,7.96762,0.03132,0,0.66266,0.19678,0,0.75936,0,0.10476,0,0,1.53767,0,5.42438,0,0,0.02635,0.12087,4.76157,0.83121,3.88791,0,0,0,0,5.96037,0,0,1.01026,0.0079,0,1.99768,0.52197,0.46344,0,5.52514,0.4984,0,2.36616,0.05832,0,0,0,0,0.02129,0,3.95919,0.02734,0.00711,0.73922,0,0.64484,0.33334,0,19.09539,0,0.04941,0,0,0,1.54077,0,3.82691,0,0.88077,0,0.22395,0.6912,0,0,0,3.12165,0,33.4139,0,0,0.37978,14.74697,0,0.00972,0,0,0,0,0,0,0,0,0,0,0.01059,0.20445,0,0.00652,0,0,2.97705,0,0,1.4089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23164,0,0,0,0,0,0,0,0,0.00067,0,0,0,0,0,0,0.02683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219,0,0,0,0.05498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05011,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0,10.96643,0,0,0,0,0.0987,0,0,4.91336,0,0,1.35534,0,0,0,0,0,0.00987,0,10.26823,0,0,0,0,0.18936,0,0,0,0,0,0,2.42085,0,0,0,0,0,0,0.06254,0,0,0.06216,0,0.13029,0,1.36647,0,0,0.04417,0,0,5.81573,0,0.12903,0,0,0,0,0,0,3.8219,0.88378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629,0,0,1.74268,1.49075,0,2.13463,0,0,2.10035,0,0,1.84484,0,0,0.88612,0,0,0,0,0.06232,0.73438,0.21918,0,0.67552,0.88873,0.64191,9.84035,13.0522,0,0,4.66483,0.21241,0,12.49734,0,2.40189,0,1.11188,21.48695,1.64001,19.53443,0,0.09453,0.38008,26.67904,0,0.15106,10.20031,0.00655,0,35.74129,0.66424,0.72969,0,0.19485,0,0.08806,0,0,1.70804,7.73284,0,0,0.30972,0.00172,0.46373,0,0,0,0.90484,0.0419,0,0.39213,0,0.72258,0.03795,0,0.00371,1.59556,0,0.12844,1.99359,0.0788,0.29637,0.66873,0,0,11.75952,0,0,0.13732,0,9.88391,2.62613,17.12043,0.01752,0.01151,0,0.82075,0.39661,0.05159,16.14027,0,0,12.77401,0.03387,0,0.16026,1.28979,0.18569,0,0.66779,0,0,3.22895,0,0.11394,0
"Synergistetes",0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,0.00121,0,0,0,0,0.17587,0,0,0,0,0,0,0.00622,0,0,0,0,0,0,0,0,0,0,0,0.01026,0,0,0.00405,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595,0,0,0,0,0,0,0,0,0,0,0,0,0.00047,0,0,0.00198,0.00219,0.00045,1.46963,0,0,0,0,0,0.00251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396,0.01053,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00977,0,0,0.01131,0,0,0,0,0,0
"Lentisphaerae",0,0.01486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0,0,0,0,0,0,0,0.11828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0.02102,0,0,0,0.07301,0,0,0,0,0,0.01668,0,0,0,0,0,0.00395,0,0,7.27031,0,0.04285,1.52696,6.60795,0,0,0.02195,0.201,0,0,0,0,0,0,0,0,0,0.01287,0.02382,0,0,0,0,0.0064,0,0.02851,9.75461,0,0,0,0.62839,0,0.37805,0,0,0,1.11272,0,0,0,0.01434,0.04332,0.0118,0,0,0,0.00764,0,0.2539,0,0.15308,0,0,0.14653,0,0,0.10994,0,0.23923,0,0,0,0,3.14684,0,0,0,0,0.00479,0.23085,0,0.00305,0,0,0,0.6887,0,0,0,0,0,0,0,0.06432,0.08751,0,0,0,0,0,0,0,0,0
"Candidatus Melainabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59273,0,0,0,0,0,0.3756,0,0,0.30801,0,0,0,0,0,0,0.49938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryota unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02122,0,0,0,0.2356,0,0,0,0,0,0,0.0176,0,0,0,0.01159,0,0,0,0,0,0,0,0,0,0.00971,0.00272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02526,0.18423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16392,0,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0
