"","G69157","HV-1","LDK_9","A72_02_1FE"
"Bacteroidia",16.25033,19.28475,80.56665,52.77041
"Clostridia",8.52027,78.76789,9.74322,30.12196
"Erysipelotrichia",0.28762,1.29813,0.18323,2.46837
"Actinomycetia",48.32013,0.09895,3.86302,0.00611
"Coriobacteriia",6.61851,0.00884,1.67482,2.41162
"Spirochaetia",0,0,0,2.82254
"Bacilli",18.80658,0.11134,3.4807,0.29015
"Negativicutes",0.03963,0.09179,0.30555,0.42367
"Methanobacteria",0,0,0,2.40189
"Gammaproteobacteria",0.61766,0.18427,0.04205,5.82118
"Deltaproteobacteria",0,0,0,0.11124
"Bigyra",0,0,0,0
"Betaproteobacteria",0.11353,0,0.06094,0
"Verrucomicrobiae",0.24737,0,0,0
"Lentisphaeria",0,0,0,0
"Synergistia",0,0,0,0.00124
"Epsilonproteobacteria",0,0,0,0
"Saccharomycetes",0,0,0.05823,0
"Thermoplasmata",0,0,0,0
"Fusobacteriia",0,0.15405,0,0
"Tissierellia",0,0,0,0
"Alphaproteobacteria",0,0,0,0
"Limnochordia",0,0,0,0
"Planctomycetia",0,0,0,0
"Mollicutes",0,0,0,0
"Flavobacteriia",0,0,0,0
"Conoidasida",0,0,0,0
"Sphingobacteriia",0,0,0,0
