"","G69157","HV-1","LDK_9","A72_02_1FE"
"Prevotella",0,1.09447,80.47146,52.32392
"Roseburia",0.42407,29.2745,1.57361,2.89107
"Catenibacterium",0,0,0.0832,1.44539
"Bifidobacterium",47.9023,0.0827,3.86302,0
"Faecalibacterium",1.69786,3.86278,2.03816,3.97576
"Collinsella",4.11205,0.00884,1.52706,2.15832
"Treponema",0,0,0,1.43821
"Mediterraneibacter",0.54898,2.76569,0.25655,1.25341
"Anaerobutyricum",0.0909,0.129,0.31487,0.05135
"Dorea",0.10499,0.37518,0.503,2.98534
"Ligilactobacillus",0,0,2.68582,0
"Coprococcus",0.00611,0.26597,0.53819,0.6221
"Fusicatenibacter",0.39232,0.92094,0.87459,0.00596
"Blautia",0.63762,0.15854,0.10084,0.50163
"Eubacterium",0.15194,34.16073,0.63687,0.68388
"Phascolarctobacterium",0,0.05904,0,0.3669
"Holdemanella",0,0.45267,0.07548,0.85413
"Ruminococcus",1.76943,0.03939,0,2.91993
"Bacteroides",11.40559,1.9134,0.02501,0.44021
"Limosilactobacillus",0,0,0.12185,0
"Butyrivibrio",0,0,0,0.0646
"Methanobrevibacter",0,0,0,2.40189
"Oscillibacter",0,0.02827,0.08129,0.0131
"Clostridium",0,0.06404,0.06352,0.17232
"Mitsuokella",0,0,0,0
"Slackia",0.00624,0,0.14776,0.24175
"Agathobaculum",0.06079,0.287,0.10639,0
"Turicibacter",0,0.84303,0.02455,0.13485
"Anaerostipes",0.62471,1.08327,0.2893,0.00099
"Phocaeicola",4.04866,15.66692,0.07018,0
"Gemmiger",0.00123,0.0313,0.04624,0.34774
"Streptococcus",0.23416,0.11134,0.21093,0.05246
"Lactobacillus",0.00798,0,0.45054,0.21566
"Escherichia",0.39889,0,0.02238,4.99578
"Lachnospira",0.29976,4.16234,0.08857,7.05735
"Intestinibacter",0.00129,0.82481,0.00245,0.2154
"Paraprevotella",0,0,0,0
"Anaerobiospirillum",0,0,0,0.33182
"Methanosphaera",0,0,0,0
"Desulfovibrio",0,0,0,0.07692
"Odoribacter",0.20863,0.00335,0,0
"Brachyspira",0,0,0,1.38433
"Alistipes",0.27709,0.16331,0,0
"Butyricimonas",0,0,0,0
"Parabacteroides",0,0.44156,0,0.00628
"Flavonifractor",1.27085,0.0324,0,0
"Sharpea",0,0,0,0
"Tractidigestivibacter",0.00122,0,0,0.01155
"Megamonas",0,0,0.1655,0
"Aeriscardovia",0.00706,0,0,0
"Blastocystis",0,0,0,0
