"","G69157","HV-1","LDK_9","A72_02_1FE"
"Bacteroidales",16.25033,19.28475,80.56665,52.77041
"Eubacteriales",8.52027,78.76789,9.74322,30.12196
"Erysipelotrichales",0.28762,1.29813,0.18323,2.46837
"Bifidobacteriales",47.90936,0.0827,3.86302,0
"Coriobacteriales",4.12021,0.00884,1.52706,2.16987
"Spirochaetales",0,0,0,1.43821
"Lactobacillales",18.80658,0.11134,3.4807,0.26812
"Acidaminococcales",0,0.05904,0,0.3669
"Methanobacteriales",0,0,0,2.40189
"Selenomonadales",0,0,0.1655,0
"Eggerthellales",2.4983,0,0.14776,0.24175
"Enterobacterales",0.54112,0,0.02238,5.45399
"Aeromonadales",0,0,0,0.33182
"Desulfovibrionales",0,0,0,0.11124
"Brachyspirales",0,0,0,1.38433
"Opalinata",0,0,0,0
"Micrococcales",0,0,0,0
"Veillonellales",0.03963,0.03275,0.14005,0.05677
"Pasteurellales",0.07654,0.18427,0.01967,0.03537
"Burkholderiales",0.11353,0,0.06094,0
"Verrucomicrobiales",0.24737,0,0,0
"Actinomycetales",0.40675,0.01625,0,0.00357
"Corynebacteriales",0.00402,0,0,0
"Neisseriales",0,0,0,0
"Victivallales",0,0,0,0
"Synergistales",0,0,0,0.00124
"Propionibacteriales",0,0,0,0.00254
"Campylobacterales",0,0,0,0
"Saccharomycetales",0,0,0.05823,0
"Methanomassiliicoccales",0,0,0,0
"Bacillales",0,0,0,0.02203
"Fusobacteriales",0,0.15405,0,0
"Pseudomonadales",0,0,0,0
"Tissierellales",0,0,0,0
"Candidatus Gastranaerophilales",0,0,0,0.03871
"Xanthomonadales",0,0,0,0
"Streptosporangiales",0,0,0,0
"Moraxellales",0,0,0,0
"Hyphomicrobiales",0,0,0,0
"Streptomycetales",0,0,0,0
"Cardiobacteriales",0,0,0,0
"Pseudonocardiales",0,0,0,0
"Alteromonadales",0,0,0,0
"Limnochordales",0,0,0,0
"Isosphaerales",0,0,0,0
"Acholeplasmatales",0,0,0,0
"Mycoplasmoidales",0,0,0,0
"Flavobacteriales",0,0,0,0
"Rhodobacterales",0,0,0,0
"Eucoccidiorida",0,0,0,0
"Sphingomonadales",0,0,0,0
"Caulobacterales",0,0,0,0
"Sphingobacteriales",0,0,0,0
