"","G69157","HV-1","LDK_9","A72_02_1FE"
"Bacteroidota",16.25033,19.28475,80.56665,52.77041
"Firmicutes",27.74755,80.26915,13.72881,33.5767
"Actinobacteria",54.93864,0.10779,5.53784,2.41773
"Spirochaetes",0,0,0,2.82254
"Euryarchaeota",0,0,0,2.40189
"Proteobacteria",0.73304,0.18427,0.10412,5.93242
"Verrucomicrobia",0.24737,0,0,0
"Lentisphaerae",0,0,0,0
"Synergistetes",0,0,0,0.00124
"Ascomycota",0,0,0.05823,0
"Candidatus Thermoplasmatota",0,0,0,0
"Fusobacteria",0,0.15405,0,0
"Candidatus Melainabacteria",0,0,0,0.03871
"Planctomycetota",0,0,0,0
"Tenericutes",0,0,0,0
"Apicomplexa",0,0,0,0
