"","G69157","HV-1","LDK_9","A72_02_1FE"
"Prevotella copri",0,0,79.18355,32.2348
"Prevotella sp. CAG:520",0,0,0,7.01938
"Prevotella sp. AM42-24",0,0,0.48626,9.3572
"Roseburia faecis",0.25248,7.81644,1.41048,1.43014
"Catenibacterium mitsuokai",0,0,0.0832,1.44539
"Prevotella sp. CAG:5226",0,0,0,0
"Bifidobacterium pseudocatenulatum",0.0652,0.05831,0,0
"Faecalibacterium prausnitzii",1.69786,3.86278,2.03816,3.97576
"Collinsella aerofaciens",4.09481,0.00884,1.52706,2.15611
"Bifidobacterium longum",31.31584,0,3.38785,0
"Prevotella sp. CAG:873",0,0,0,0
"Prevotella sp. 885",0,0,0.66658,1.15254
"Treponema succinifaciens",0,0,0,1.43821
"[Eubacterium] rectale",0.37188,0.27835,2.22878,5.8442
"[Ruminococcus] torques",0.06966,0.96417,0.22683,1.18832
"Anaerobutyricum hallii",0.0909,0.129,0.31487,0.05135
"Dorea longicatena",0.07536,0.22781,0.32,2.39671
"Ligilactobacillus ruminis",0,0,2.54186,0
"Prevotella stercorea",0,0,0,1.44054
"Coprococcus catus",0.00322,0.1947,0.10421,0.04209
"Fusicatenibacter saccharivorans",0.39232,0.92094,0.87459,0.00596
"Coprococcus comes",0.00289,0.06928,0.14145,0.05775
"Blautia wexlerae",0.6355,0.00484,0.05628,0.10114
"Eubacterium sp. CAG:38",0.15194,33.53404,0.01124,0.52703
"Roseburia sp. CAG:471",0,0,0.03451,0.05209
"Eubacterium sp. CAG:251",0,0,0.01409,0.13953
"Phascolarctobacterium succinatutens",0,0,0,0.3669
"Dorea formicigenerans",0.02963,0.14737,0.183,0.58863
"Holdemanella biformis",0,0.45267,0.07548,0.85413
"Ruminococcus bromii",1.76718,0.03414,0,2.87566
"Prevotella sp. CAG:279",0,0.26877,0.04403,0.0307
"Bifidobacterium angulatum",0,0,0,0
"Bacteroides sp. CAG:530",0,0,0,0.42568
"Limosilactobacillus mucosae",0,0,0.07943,0
"Firmicutes bacterium CAG:534",0,0,0,0
"[Eubacterium] siraeum",0.01202,0,0,0
"Firmicutes bacterium CAG:110",0,0,0,0
"Butyrivibrio crossotus",0,0,0,0.0646
"Ruminococcus sp. CAG:488",0,0,0,0
"Methanobrevibacter smithii",0,0,0,2.40189
"Oscillibacter sp. 57_20",0,0.02827,0.04545,0.0131
"Clostridium sp. CAG:510",0,0,0,0
"Mitsuokella jalaludinii",0,0,0,0
"Slackia isoflavoniconvertens",0.00624,0,0.14776,0.24175
"Oscillibacter sp. CAG:241",0,0,0.03584,0
"Agathobaculum butyriciproducens",0.06079,0.287,0.10639,0
"Roseburia inulinivorans",0.00105,14.45001,0.10201,1.03559
"Turicibacter sanguinis",0,0.84303,0.02455,0.13485
"Anaerostipes hadrus",0.62471,1.08327,0.2893,0.00099
"Blautia obeum",0.00212,0.1537,0.04456,0.40049
"Coprococcus eutactus",0,0.00199,0.29253,0.52226
"Ruminococcus bicirculans",0,0.00525,0,0
"Roseburia hominis",0,0.01944,0.01177,0.16099
"Phocaeicola vulgatus",4.04866,10.91811,0,0
"Ruminococcus callidus",0.00225,0,0,0.01598
"Firmicutes bacterium CAG:170",0,0,0.00764,0
"Gemmiger formicilis",0.00123,0.0313,0.04624,0.34774
"Butyrivibrio sp. CAG:318",0,0,0,0
"Streptococcus thermophilus",0.04321,0.00259,0.09132,0
"Mitsuokella multacida",0,0,0,0
"Lactobacillus delbrueckii",0,0,0.22422,0
"Escherichia coli",0.39889,0,0.02238,4.99578
"Lachnospira eligens",0.25634,4.06962,0.05632,1.9172
"Intestinibacter bartlettii",0.00129,0.82481,0.00245,0.2154
"Firmicutes bacterium CAG:238",0,0,0,0
"Firmicutes bacterium CAG:83",0,0,0.00847,0
"Clostridium sp. CAG:413",0,0,0,0
"Eubacterium ramulus",0,0.15658,0.03712,0.01732
"Paraprevotella xylaniphila",0,0,0,0
"Anaerobiospirillum thomasii",0,0,0,0.33182
"Methanosphaera stadtmanae",0,0,0,0
"Desulfovibrio piger",0,0,0,0.07692
"Eubacterium ventriosum",0,0.00927,0.0101,0
"Desulfovibrionaceae bacterium",0,0,0,0
"Clostridium disporicum",0,0.06404,0,0.03436
"Odoribacter splanchnicus",0.20863,0.00335,0,0
