#SampleID	SourceSink	Env
KHG_7	source	non_westernized
A47_01_1FE	source	non_westernized
TZ_83985	source	non_westernized
LDK_9	source	non_westernized
JAS_7	source	non_westernized
KHG_9	source	non_westernized
A73_02_1FE	source	non_westernized
LDK_8	source	non_westernized
LDK_3	source	non_westernized
A73_01_1FE	source	non_westernized
SID570_4M	source	westernized
MH0430	source	westernized
PNP_Validation_55	source	westernized
MH0456	source	westernized
PNP_Main_398	source	westernized
SAMEA7045071	source	westernized
EGAR00001420843_9002000001441150	source	westernized
G80371	source	westernized
SID5427-1	source	westernized
EGAR00001421017_9002000001486419	source	westernized
ERR5766177	sink	-
